"site_code","pre_post","longitude","latitude","cluster","site_name","Mean_SST_cl","SD_SST_cl","npp_mean","npp_min","npp_max","npp_sd","npp_interann_sd","npp_flag","wave_mean","wave_sd","wave_interann_sd","land_area_20km","reef_area_20km","pop2015_20km","depth","MMM","maxDHW","maxSSTA","Year_Pre","Year_Post","interval","clust.prepost"
"CS104","Pre",151.07127,-17.4347,1,"East Diamond Islet Tower",26.23865366,1.414672343,500.9543946,347.7218412,663.9452173,89.35401316,28.04149541,1,17.3299589,4.903831778,2.068266856,0,40.75,0,3,28.06956863,0,0,2013,2016,3,"Pre_1"
"CS11","Post",149.19696,-16.93653,1,"NE Herald Cay Central",26.42536688,1.462871408,503.7209253,359.6265622,733.3130219,97.49255487,32.09469917,1,14.06394452,4.186165418,1.780958511,0,26.75,0,8.5,28.34103584,8.659999806,2.059999954,2012,2017,5,"Post_1"
"CS11","Pre",149.19696,-16.93653,1,"NE Herald Cay Central",26.42536688,1.462871408,503.7209253,359.6265622,733.3130219,97.49255487,32.09469917,1,14.06394452,4.186165418,1.780958511,0,26.75,0,8.5,28.34103584,0,0,2012,2017,5,"Pre_1"
"CS110","Post",150.73692,-17.71175,1,"Tregrosse Outlier Reef Down",26.14061848,1.476145749,619.9414987,393.48211785,844.5322377,119.8203633,29.64261187,1,16.33814191,4.595947927,1.9631642535,0,45,0,7.5,28.07126617,6.059999865,1.849999959,2013,2016,3,"Post_1"
"CS110","Pre",150.73692,-17.71175,1,"Tregrosse Outlier Reef Down",26.14061848,1.476145749,619.9414987,393.48211785,844.5322377,119.8203633,29.64261187,1,16.33814191,4.595947927,1.9631642535,0,45,0,7.5,28.07126617,0,0,2013,2016,3,"Pre_1"
"CS111","Post",150.7345,-17.71298,1,"Tregrosse Outlier Reef",26.14061848,1.476145749,615.0497245,388.1119878,835.0361904,122.0373569,26.52414851,1,16.36676321,4.615623041,1.971767955,0,45,0,9.75,28.07126617,6.059999865,1.849999959,2013,2016,3,"Post_1"
"CS111","Pre",150.7345,-17.71298,1,"Tregrosse Outlier Reef",26.14061848,1.476145749,615.0497245,388.1119878,835.0361904,122.0373569,26.52414851,1,16.36676321,4.615623041,1.971767955,0,45,0,9.5,28.07126617,0,0,2013,2016,3,"Pre_1"
"CS113","Post",150.63277,-17.77473,1,"Tregosse Reef",26.14958938,1.479726971,552.7842745,364.2501347,772.4613546,126.8763001,24.38051759,1,15.96490133,4.511619389,1.929567917,0,25,0,8,28.10355377,5.609999875,1.869999958,2013,2016,3,"Post_1"
"CS113","Pre",150.63277,-17.77473,1,"Tregosse Reef",26.14958938,1.479726971,552.7842745,364.2501347,772.4613546,126.8763001,24.38051759,1,15.96490133,4.511619389,1.929567917,0,25,0,8,28.10355377,0,0,2013,2016,3,"Pre_1"
"CS12","Post",149.19332,-16.93007,1,"NE Herald Bommie",26.42536688,1.462871408,503.7209253,359.6265622,733.3130219,97.49255487,32.09469917,1,14.06394452,4.186165418,1.780958511,0,26.75,0,15,28.34103584,8.659999806,2.059999954,2012,2017,5,"Post_1"
"CS12","Pre",149.19332,-16.93007,1,"NE Herald Bommie",26.42536688,1.462871408,503.7209253,359.6265622,733.3130219,97.49255487,32.09469917,1,14.06394452,4.186165418,1.780958511,0,26.75,0,13,28.34103584,0,0,2012,2017,5,"Pre_1"
"CS123","Post",148.50514,-17.82899,1,"South Flinders Horseshoe NW",26.20020787,1.597087572,530.2951917,358.6515659,787.6234716,113.5821994,22.58502834,1,13.86234024,4.090312097,1.703357801,0.407211802,89.5,0,10.5,28.31949234,5.519999877,2.169999951,2013,2017,4,"Post_1"
"CS123","Pre",148.50514,-17.82899,1,"South Flinders Horseshoe NW",26.20020787,1.597087572,530.2951917,358.6515659,787.6234716,113.5821994,22.58502834,1,13.86234024,4.090312097,1.703357801,0.407211802,89.5,0,10.5,28.31949234,0,0,2013,2017,4,"Pre_1"
"CS126","Post",148.43873,-17.71666,1,"Flinders Ribbon Reef South Cay",26.20633809,1.597768803,588.7585067,407.5020729,848.2492576,117.377998,28.78794285,1,14.19393088,4.191657542,1.736260304,0.203681509,82.25,0,10,28.32816696,5.519999877,2.139999952,2013,2017,4,"Post_1"
"CS126","Pre",148.43873,-17.71666,1,"Flinders Ribbon Reef South Cay",26.20633809,1.597768803,588.7585067,407.5020729,848.2492576,117.377998,28.78794285,1,14.19393088,4.191657542,1.736260304,0.203681509,82.25,0,10,28.32816696,0,0,2013,2017,4,"Pre_1"
"CS127","Post",148.4373,-17.71505,1,"Flinders Ribbon Reef South Cay SW",26.20633809,1.597768803,588.7585067,407.5020729,848.2492576,117.377998,28.78794285,1,14.19393088,4.191657542,1.736260304,0.203681509,82.25,0,9,28.32816696,5.519999877,2.139999952,2013,2017,4,"Post_1"
"CS127","Pre",148.4373,-17.71505,1,"Flinders Ribbon Reef South Cay SW",26.20633809,1.597768803,588.7585067,407.5020729,848.2492576,117.377998,28.78794285,1,14.19393088,4.191657542,1.736260304,0.203681509,82.25,0,8,28.32816696,0,0,2013,2017,4,"Pre_1"
"CS128","Post",148.4606,-17.70575,1,"Flinders Cay Storm Bommie",26.20277119,1.591672835,605.7617068,429.260045,869.5800264,118.1999942,30.91920304,1,13.44890871,3.928720448,1.612933769,0.407211802,112.25,0,6.75,28.31719589,5.82999987,2.159999952,2013,2017,4,"Post_1"
"CS128","Pre",148.4606,-17.70575,1,"Flinders Cay Storm Bommie",26.20277119,1.591672835,605.7617068,429.260045,869.5800264,118.1999942,30.91920304,1,13.44890871,3.928720448,1.612933769,0.407211802,112.25,0,6.6,28.31719589,0,0,2013,2017,4,"Pre_1"
"CS129","Post",148.46176,-17.70304,1,"Flinders Ribbon Reef South Cay E bommie",26.20277119,1.591672835,605.7617068,429.260045,869.5800264,118.1999942,30.91920304,1,13.44890871,3.928720448,1.612933769,0.407211802,112.25,0,11,28.31719589,5.82999987,2.159999952,2013,2017,4,"Post_1"
"CS129","Pre",148.46176,-17.70304,1,"Flinders Ribbon Reef South Cay E bommie",26.20277119,1.591672835,605.7617068,429.260045,869.5800264,118.1999942,30.91920304,1,13.44890871,3.928720448,1.612933769,0.407211802,112.25,0,8.5,28.31719589,0,0,2013,2017,4,"Pre_1"
"CS13","Post",149.20228,-16.92822,1,"NE Herald Back Reef",26.42659076,1.459770663,503.7209253,359.6265622,733.3130219,97.49255487,32.09469917,1,14.06394452,4.186165418,1.780958511,0,26.75,0,6.5,28.3393116,8.9399998,2.069999954,2012,2017,5,"Post_1"
"CS13","Pre",149.20228,-16.92822,1,"NE Herald Back Reef",26.42659076,1.459770663,503.7209253,359.6265622,733.3130219,97.49255487,32.09469917,1,14.06394452,4.186165418,1.780958511,0,26.75,0,6.5,28.3393116,0,0,2012,2017,5,"Pre_1"
"CS130","Post",149.999,-16.93133,1,"Chilcott Islet bommie",26.40622075,1.406153409,563.8611307,349.089414,783.2212006,119.4499905,38.80415834,1,13.64472862,3.810286197,1.620590657,0.204556699,17.25,0,8.5,28.28011703,8.03999982,2.369999947,2013,2017,4,"Post_1"
"CS130","Pre",149.999,-16.93133,1,"Chilcott Islet bommie",26.40622075,1.406153409,563.8611307,349.089414,783.2212006,119.4499905,38.80415834,1,13.64472862,3.810286197,1.620590657,0.204556699,17.25,0,8.5,28.28011703,0,0,2013,2017,4,"Pre_1"
"CS131","Post",150.00203,-16.93012,1,"Chilcott Islet Haven",26.39959812,1.402978955,563.8611307,349.089414,783.2212006,119.4499905,38.80415834,1,13.64472862,3.810286197,1.620590657,0.204556699,17.25,0,9,28.26583862,8.399999812,2.329999948,2013,2017,4,"Post_1"
"CS131","Pre",150.00203,-16.93012,1,"Chilcott Islet Haven",26.39959812,1.402978955,563.8611307,349.089414,783.2212006,119.4499905,38.80415834,1,13.64472862,3.810286197,1.620590657,0.204556699,17.25,0,8.3,28.26583862,0,0,2013,2017,4,"Pre_1"
"CS132","Post",149.99043,-16.93157,1,"Chilcott Islet SW inner reef",26.40622075,1.406153409,558.2775282,353.4142454,808.386731,116.5084673,35.14621774,1,13.49075841,3.778195569,1.608327696,0.204556699,17.25,0,9,28.28011703,8.03999982,2.369999947,2013,2017,4,"Post_1"
