"CategoryName","average_contrib","sd_contrib","meanPre","meanPost","meanDiff","pre.Indic"
"Fungia",0.005,0.014,0.04,0.1,0.06,0
"Leptoria.phrygia",0.004,0.01,0.09,0.01,-0.08,0
"Stony.corals",0.005,0.014,0.12,0.03,-0.09,0
"Acropora.grandis",0.004,0.017,0.1,0.01,-0.09,1
"Stylophora.pistillata",0.024,0.026,0.52,0.33,-0.19,0
"Isopora.palifera",0.028,0.041,0.57,0.37,-0.2,0
