"CategoryName","average_contrib","sd_contrib","meanPre","meanPost","meanDiff","pre.Indic"
"Merulina.ampliata",0.013,0.023,0.29,0.13,-0.16,0
"Cyphastrea.Submassive",0.012,0.018,0.28,0.02,-0.26,0
"Montipora.Encrusting",0.02,0.026,0.46,0.17,-0.29,0
"Isopora.palifera",0.017,0.024,0.41,0.1,-0.31,0
