"CategoryName","average_contrib","sd_contrib","meanPre","meanPost","meanDiff","pre.Indic"
"Stylophora.pistillata",0.029,0.033,0.24,0.39,0.15,0
"Acropora.cerealis",0.011,0.024,0.02,0.17,0.15,0
"Acropora.hyacinthus",0.009,0.023,0.04,0.11,0.07,0
"Cyphastrea.Submassive",0.025,0.03,0.36,0.18,-0.18,0
"Sub.massive.corals",0.045,0.04,0.71,0.48,-0.23,0
