"CategoryName","average_contrib","sd_contrib","meanPre","meanPost","meanDiff","pre.Indic"
"Coral.Species",0.006,0.01,0.07,0.22,0.15,0
"Columnar.corals",0.004,0.008,0.02,0.16,0.14,0
"Goniastrea.edwardsi",0.004,0.009,0.15,0.06,-0.09,0
"Stylophora.pistillata",0.008,0.011,0.31,0.17,-0.14,0
"Echinopora.lamellosa",0.01,0.014,0.35,0.2,-0.15,0
"Sub.massive.corals",0.019,0.018,1.02,0.78,-0.24,0
"Tabular.Acropora.corals",0.014,0.016,0.52,0.25,-0.27,0
"Montipora.grisea",0.014,0.015,0.56,0.24,-0.32,1
