"CategoryName","average_contrib","sd_contrib","meanPre","meanPost","meanDiff","pre.Indic"
"Seriatopora.caliendrum",0.016,0.017,0.16,0.51,0.35,0
"Branching.Acropora",0.018,0.025,0.25,0.49,0.24,0
"Massive.corals",0.026,0.021,1.07,0.57,-0.5,0
