"CategoryName","average_contrib","sd_contrib","meanPre","meanPost","meanDiff","pre.Indic"
"Porites.cylindrica",0.019,0.029,0.43,0.2,-0.23,0
"Isopora.brueggemanni",0.057,0.064,1.56,0.89,-0.67,1
