"Region","SiteCode","SiteName","SiteLat","SiteLong","maxDHW","maxSSTA","Jan_SST_cl","Feb_SST_cl","Mar_SST_cl","Apr_SST_cl","May_SST_cl","Jun_SST_cl","Jul_SST_cl","Aug_SST_cl","Sep_SST_cl","Oct_SST_cl","Nov_SST_cl","Dec_SST_cl"
"GBR","AIMS1","Masthead Site 3",-23.53652,151.75731,0,1.69999992847443,26.9337501525879,27.1477661132812,26.3216361999512,25.212890625,23.7200393676758,22.0535221099854,20.8189907073975,20.5020980834961,21.2329845428467,22.760627746582,24.3305988311768,25.8702411651611
"GBR","AIMS10","North Island Site 1",-23.175483,151.908633,0,1.77999997138977,26.8429889678955,27.1853828430176,26.5010795593262,25.4858551025391,24.2241916656494,22.7908306121826,21.6670799255371,21.2359104156494,21.619836807251,22.80686378479,24.3164119720459,25.791130065918
"GBR","AIMS12","North Island Site 3",-23.1778,151.915433,0,1.77999997138977,26.8429889678955,27.1853828430176,26.5010795593262,25.4858551025391,24.2241916656494,22.7908306121826,21.6670799255371,21.2359104156494,21.619836807251,22.80686378479,24.3164119720459,25.791130065918
"GBR","AIMS2","Masthead Site 1",-23.5341,151.74968,0,1.71999990940094,26.9605808258057,27.164665222168,26.3308868408203,25.2001190185547,23.6773719787598,21.9843196868896,20.7495365142822,20.4317188262939,21.2098579406738,22.7651538848877,24.3397884368896,25.8838672637939
"GBR","AIMS4","Erskyne Island Site 1",-23.49835,151.7747,0,1.69999992847443,26.9224662780762,27.1523494720459,26.3449630737305,25.2410278320312,23.7794513702393,22.1530094146729,20.9519844055176,20.6209335327148,21.2984313964844,22.7702522277832,24.332950592041,25.8688068389893
"GBR","AIMS5","Erskyne Island Site 2",-23.49845,151.7789,0,1.69999992847443,26.9224662780762,27.1523494720459,26.3449630737305,25.2410278320312,23.7794513702393,22.1530094146729,20.9519844055176,20.6209335327148,21.2984313964844,22.7702522277832,24.332950592041,25.8688068389893
"GBR","AIMS7","Broomfield Reef Site 2",-23.25245,151.94545,0,1.71999990940094,26.8169479370117,27.1369686126709,26.4460868835449,25.4168090820312,24.1458568572998,22.6869659423828,21.5672073364258,21.1519527435303,21.5609092712402,22.7828006744385,24.2868614196777,25.7776718139648
"GBR","AIMS8","Broomfield Reef Site 1",-23.249566,151.94255,0,1.75,26.8245449066162,27.1576499938965,26.4747772216797,25.4522285461426,24.1882877349854,22.7455406188965,21.626371383667,21.2032871246338,21.5926265716553,22.7927856445312,24.2964382171631,25.7778739929199
"GBR","COR11","Hastings Reef",-16.52825,145.99349,4.73000001907349,2.60999989509583,28.558162689209,28.6825695037842,27.9930152893066,26.9737911224365,25.673957824707,24.2007503509521,23.6212291717529,23.6586036682129,24.4778537750244,25.7085762023926,27.0820388793945,27.8940105438232
"GBR","COR12","Agincourt Reef - The Gap",-15.9758,145.8291,6.05999994277954,2.3899998664856,28.4578285217285,28.6786460876465,28.0767040252686,27.0598754882812,25.8595390319824,24.5346183776855,23.974609375,23.8597812652588,24.5902538299561,25.6592617034912,27.0206775665283,27.8904209136963
"GBR","COR13","Agincourt Reef - The Point",-15.96846,145.81968,6.05999994277954,2.3899998664856,28.4578285217285,28.6786460876465,28.0767040252686,27.0598754882812,25.8595390319824,24.5346183776855,23.974609375,23.8597812652588,24.5902538299561,25.6592617034912,27.0206775665283,27.8904209136963
"GBR","COR14","Agincourt Reef - Three Sisters",-15.9609,145.80432,6.05999994277954,2.3899998664856,28.4578285217285,28.6786460876465,28.0767040252686,27.0598754882812,25.8595390319824,24.5346183776855,23.974609375,23.8597812652588,24.5902538299561,25.6592617034912,27.0206775665283,27.8904209136963
"GBR","CS1","Long Reef West",-19.29696,152.23517,3.04999995231628,1.86000001430511,27.5957145690918,27.8108596801758,27.3276119232178,26.662540435791,25.7577991485596,24.6533870697021,23.8914165496826,23.5295295715332,23.9536800384521,25.0476570129395,26.1225090026855,27.0064125061035
"GBR","CS10","NE Herald Cay SW",-16.947773,149.182624,8.65999984741211,2.05999994277954,28.2184066772461,28.3410358428955,27.881778717041,27.1324100494385,26.3281383514404,25.2778854370117,24.5816802978516,24.3941650390625,24.7168312072754,25.7291450500488,26.7963371276855,27.7065887451172
"GBR","CS101","Diamond Cay Islet",-17.41432,151.07258,6.35999965667725,2,27.9621906280518,28.0695686340332,27.6591777801514,26.9878692626953,26.0975208282471,25.1787567138672,24.559814453125,24.1895198822021,24.5186519622803,25.5890884399414,26.6185283660889,27.4331569671631
"GBR","CS102","East Diamond Islet NW",-17.41703,151.07128,6.35999965667725,2,27.9621906280518,28.0695686340332,27.6591777801514,26.9878692626953,26.0975208282471,25.1787567138672,24.559814453125,24.1895198822021,24.5186519622803,25.5890884399414,26.6185283660889,27.4331569671631
"GBR","CS103","East Diamond Islet lagoon",-17.43525,151.07027,6.35999965667725,2,27.9621906280518,28.0695686340332,27.6591777801514,26.9878692626953,26.0975208282471,25.1787567138672,24.559814453125,24.1895198822021,24.5186519622803,25.5890884399414,26.6185283660889,27.4331569671631
"GBR","CS104","East Diamond Islet Tower",-17.4347,151.07127,6.35999965667725,2,27.9621906280518,28.0695686340332,27.6591777801514,26.9878692626953,26.0975208282471,25.1787567138672,24.559814453125,24.1895198822021,24.5186519622803,25.5890884399414,26.6185283660889,27.4331569671631
"GBR","CS11","NE Herald Cay Central",-16.93653,149.19696,8.65999984741211,2.05999994277954,28.2184066772461,28.3410358428955,27.881778717041,27.1324100494385,26.3281383514404,25.2778854370117,24.5816802978516,24.3941650390625,24.7168312072754,25.7291450500488,26.7963371276855,27.7065887451172
