"RLS_category_2","label","freq","mean_cover_present","rank.freq","rank.cover","new.label"
"Sub-massive corals","Astreopora gracilis",16,1.32001155625,126,219,"Sub-massive corals"
"Columnar corals","Pavona maldivensis",19,1.31901215078947,118,220,"Columnar corals"
"Massive corals","Favia pallida",48,1.29322822810417,56,221,"Massive corals"
"Sub-massive corals","Leptastrea Submassive",60,1.29233989606667,43,222,"Leptastrea Submassive"
"Corymbose Acropora corals","Acropora aculeus",7,1.28860028857143,197,223,"Corymbose Acropora corals"
"Sub-massive corals","Montipora nodosa",11,1.28345078218182,162,224,"Sub-massive corals"
"Encrusting corals","Leptastrea Encrusting",46,1.28335322493478,60,225,"Encrusting corals"
"Bottlebrush Acropora corals","Bottlebrush Acropora corals",15,1.28186155133333,134,226,"Bottlebrush Acropora corals"
"Massive corals","Coeloseris mayeri",26,1.27309394484615,87,227,"Massive corals"
"Encrusting corals","Leptastrea pruinosa",8,1.258585293,191,228,"Encrusting corals"
"Encrusting corals","Montipora danae",8,1.258330265,192,229,"Encrusting corals"
"Sub-massive corals","Favites russelli",11,1.25632952909091,159,230,"Sub-massive corals"
"Branching corals","Stylophora subseriata",4,1.255050505,250,231,"Branching corals"
"Foliose/Plate corals","Montipora foliosa",7,1.25461251228571,209,232,"Foliose/Plate corals"
"Digitate corals","Acropora Digitate",30,1.25129679153333,74,233,"Digitate corals"
"Digitate corals","Acropora humilis",60,1.25117950713333,42,234,"Acropora humilis"
"Tabular Acropora corals","Acropora donei",4,1.25,234,235,"Tabular Acropora corals"
"Stony corals","Porites",7,1.241500858,211,236,"Stony corals"
"Massive corals","Goniastrea Hemispherical",14,1.23703699171429,142,237,"Massive corals"
"Massive corals","Goniastrea australensis",9,1.23456790122222,178,238,"Massive corals"
"Massive corals","Symphyllia recta",29,1.23185242062069,82,239,"Massive corals"
"Massive corals","Favia speciosa",8,1.22605665675,190,240,"Massive corals"
"Encrusting corals","Echinopora Encrusting",9,1.22250747855556,173,241,"Encrusting corals"
"Encrusting corals","Galaxea fascicularis",45,1.22232450691111,62,242,"Encrusting corals"
"Sub-massive corals","Coscinaraea columna",37,1.22133344335135,67,243,"Sub-massive corals"
"Sub-massive corals","Astreopora Submassive",9,1.22033860822222,172,244,"Sub-massive corals"
"Encrusting corals","Astreopora Encrusting",9,1.21821036111111,171,245,"Encrusting corals"
"Branching corals","Pocillopora",37,1.21217578845946,68,246,"Branching corals"
"Massive corals","Platygyra daedalea",21,1.20027266590476,108,247,"Massive corals"
"Massive corals","Favites flexuosa",5,1.2,227,248,"Massive corals"
"Sub-massive corals","Montipora hoffmeisteri",12,1.193689766,154,249,"Sub-massive corals"
"Sub-massive corals","Cyphastrea serailia",15,1.1929678316,135,250,"Sub-massive corals"
"Massive corals","Favia favus",15,1.19098467673333,136,251,"Massive corals"
"Sub-massive corals","Porites Submassive",47,1.18847661010638,58,252,"Sub-massive corals"
"Branching corals","Seriatopora",10,1.1824615282,170,253,"Branching corals"
"Corymbose Acropora corals","Acropora granulosa",7,1.17924229542857,198,254,"Corymbose Acropora corals"
"Encrusting corals","Montipora verrucosa",6,1.17712209816667,217,255,"Encrusting corals"
"Stony corals","Stony corals",21,1.17464600285714,109,256,"Stony corals"
"Massive corals","Platygyra pini",16,1.1738157906875,129,257,"Massive corals"
"Encrusting corals","Cyphastrea Encrusting",74,1.17290167217568,35,258,"Cyphastrea Encrusting"
"Corymbose Acropora corals","Acropora caroliniana",6,1.17006802716667,215,259,"Corymbose Acropora corals"
"Massive corals","Symphyllia",6,1.1637608845,221,260,"Massive corals"
"Stony corals","Acropora",77,1.15770798536364,33,261,"Acropora"
"Sub-massive corals","Cyphastrea microphthalma",19,1.15321604994737,114,262,"Sub-massive corals"
"Foliose/Plate corals","Solid plate corals",14,1.14807426728571,144,263,"Foliose/Plate corals"
"Sub-massive corals","Favites Submassive",28,1.14407590828571,83,264,"Sub-massive corals"
"Branching corals","Seriatopora aculeata",7,1.13765571171429,212,265,"Branching corals"
"Massive corals","Favia matthaii",29,1.13625850824138,80,266,"Massive corals"
"Sub-massive corals","Platygyra contorta",9,1.11335578,181,267,"Sub-massive corals"
"Massive corals","Astrea annuligera",8,1.112910754375,187,268,"Massive corals"
"Massive corals","Goniastrea aspera",18,1.11131201438889,120,269,"Massive corals"
"Branching corals","Porites Branching",9,1.11059017344444,182,270,"Branching corals"
"Massive corals","Cyphastrea Hemispherical",23,1.10420155443478,97,271,"Massive corals"
"Massive corals","Favia rotumana",8,1.10173160175,189,272,"Massive corals"
"Encrusting corals","Psammocora profundacella",9,1.09727309733333,183,273,"Encrusting corals"
"Massive corals","Massive corals",57,1.08983274191228,48,274,"Massive corals"
"Sub-massive corals","Platygyra Submassive",12,1.08237317408333,157,275,"Sub-massive corals"
"Massive corals","Favia Hemispherical",45,1.08194294222222,61,276,"Massive corals"
"Foliose/Plate corals","Foliose/Plate corals",17,1.07795630329412,121,277,"Foliose/Plate corals"
"Sub-massive corals","Goniastrea Submassive",27,1.07467094696296,85,278,"Sub-massive corals"
"Foliose/Plate corals","Pavona decussata",7,1.070456754,210,279,"Foliose/Plate corals"
"Encrusting corals","Porites Encrusting",14,1.06912621892857,143,280,"Encrusting corals"
"Ahermatypic corals","Tubastrea micranthus",1,1.063829787,399,281,"Ahermatypic corals"
"Encrusting corals","Favites Encrusting",29,1.06248546465517,81,282,"Encrusting corals"
"Sub-massive corals","Gardineroseris planulata",16,1.0597012771875,128,283,"Sub-massive corals"
"Massive corals","Favia veroni",1,1.052631579,358,284,"Massive corals"
"Sub-massive corals","Lobophyllia",2,1.043478261,303,285,"Sub-massive corals"
"Stony corals","Montipora",1,1.041666667,375,286,"Stony corals"
"Foliose/Plate corals","Oxypora",1,1.041666667,383,287,"Foliose/Plate corals"
"Corymbose Acropora corals","Acropora spathulata",2,1.0369653985,284,288,"Corymbose Acropora corals"
"Corymbose Acropora corals","Acropora nana",1,1.030927835,337,289,"Corymbose Acropora corals"
"Massive corals","Alveopora Hemispherical",1,1.030927835,339,290,"Massive corals"
