"RLS_category_2","label","freq","mean_cover_present","rank.freq","rank.cover","new.label"
"Tabular Acropora corals","Acropora papillare",7,2.58076683242857,200,72,"Tabular Acropora corals"
"Stony corals","Leptastrea",2,2.56185567,302,73,"Stony corals"
"Sub-massive corals","Pectinia paeonia",10,2.5545201835,169,74,"Sub-massive corals"
"Encrusting corals","Pavona varians",205,2.52950067820488,8,75,"Pavona varians"
"Branching Acropora","Acropora yongei",7,2.50709332071429,203,76,"Branching Acropora"
"Massive corals","Symphyllia agaricia",2,2.505050505,321,77,"Massive corals"
"Sub-massive corals","Coscinaraea Submassive",2,2.5,292,78,"Sub-massive corals"
"Foliose/Plate corals","Montipora corbettensis",2,2.5,306,79,"Foliose/Plate corals"
"Encrusting corals","Echinopora gemmacea",24,2.42809370725,93,80,"Encrusting corals"
"Foliose/Plate corals","Merulina ampliata",80,2.425209855325,32,81,"Merulina ampliata"
"Sub-massive corals","Pectinia lactuca",8,2.377551020375,193,82,"Sub-massive corals"
"Hydrocoral","Millepora dichotoma",49,2.3687019815102,54,83,"Hydrocoral"
"Corymbose Acropora corals","Acropora tenuis",76,2.36105840931579,34,84,"Acropora tenuis"
"Encrusting corals","Montipora informis",15,2.3585952802,137,85,"Encrusting corals"
"Foliose/Plate corals","Montipora Foliose",28,2.28445013828571,84,86,"Foliose/Plate corals"
"Corymbose Acropora corals","Acropora millepora",46,2.28434586723913,59,87,"Corymbose Acropora corals"
"Tabular Acropora corals","Acropora florida",47,2.27319910265957,57,88,"Tabular Acropora corals"
"Branching Acropora","Acropora Bushy arborescent",50,2.27130798698,52,89,"Branching Acropora"
"Massive corals","Platygyra lamellina",8,2.237777735,194,90,"Massive corals"
"Digitate corals","Digitate corals",5,2.2368609298,226,91,"Digitate corals"
"Foliose/Plate corals","Mycedium elephantotus",9,2.23472080288889,180,92,"Foliose/Plate corals"
"Tabular Acropora corals","Acropora paniculata",21,2.22541639304762,103,93,"Tabular Acropora corals"
"Branching corals","Seriatopora hystrix",86,2.22257679682558,31,94,"Seriatopora hystrix"
"Heliopora coerulea (blue coral)","Heliopora coerulea (blue coral)",30,2.19132204186667,76,95,"Heliopora coerulea (blue coral)"
"Sub-massive corals","Pavona bipartita",5,2.1904761904,231,96,"Sub-massive corals"
"Branching corals","Pocillopora verrucosa",249,2.16605492607631,5,97,"Pocillopora verrucosa"
"Hydrocoral","Millepora branching",13,2.15943034630769,149,98,"Hydrocoral"
"Sub-massive corals","Favia stelligera",140,2.15279605183571,15,99,"Favia stelligera"
"Branching corals","Psammocora obtusangula",2,2.112903226,318,100,"Branching corals"
"Bottlebrush Acropora corals","Acropora subglabra",8,2.10939704175,186,101,"Bottlebrush Acropora corals"
"Foliose/Plate corals","Montipora palawanensis",1,2.105263158,377,102,"Foliose/Plate corals"
"Foliose/Plate corals","Merulina scabricula",22,2.10167287295455,102,103,"Foliose/Plate corals"
"Corymbose Acropora corals","Acropora listeri",19,2.10104352584211,113,104,"Corymbose Acropora corals"
"Branching corals","Porites nigrescens",19,2.09313564573684,119,105,"Branching corals"
"Corymbose Acropora corals","Acropora latistella",26,2.08674473138462,86,106,"Corymbose Acropora corals"
"Columnar corals","Psammocora haimiana",2,2.0789473685,317,107,"Columnar corals"
"Foliose/Plate corals","Mycedium mancaoi",4,2.07892277225,245,108,"Foliose/Plate corals"
"Sub-massive corals","Montipora caliculata",17,2.06557096523529,123,109,"Sub-massive corals"
"Foliose/Plate corals","Echinopora lamellosa",94,2.05007974567021,25,110,"Echinopora lamellosa"
"Sub-massive corals","Montipora Submassive",104,2.04393643092308,20,111,"Montipora Submassive"
"Foliose/Plate corals","Pachyseris speciosa",24,2.03006312383333,95,112,"Foliose/Plate corals"
"Corymbose Acropora corals","Acropora sarmentosa",20,2.0123381794,110,113,"Corymbose Acropora corals"
"Massive corals","Turbinaria stellulata",5,2.0105263158,233,114,"Massive corals"
"Sub-massive corals","Montipora incrassata",4,2.00762729325,243,115,"Sub-massive corals"
"Branching corals","Galaxea horrescens",9,2.00224466888889,176,116,"Branching corals"
"Sub-massive corals","Montipora efflorescens",4,2,241,117,"Sub-massive corals"
"Columnar corals","Isopora Columnar or digitate",3,2,265,118,"Columnar corals"
"Foliose/Plate corals","Leptoseris yabei",3,2,267,119,"Foliose/Plate corals"
"Sub-massive corals","Lobophyllia dentatus",3,2,269,120,"Sub-massive corals"
"Corymbose Acropora corals","Acropora anthocercis",1,2,328,121,"Corymbose Acropora corals"
"Encrusting corals","Acropora Encrusting",1,2,333,122,"Encrusting corals"
"Encrusting corals","Astreopora incrustans",1,2,344,123,"Encrusting corals"
"Large-polyp stony corals (free-living)","Cycloseris patelliformis",1,2,347,124,"Large-polyp stony corals (free-living)"
"Branching corals","Hydnophora Branching",1,2,366,125,"Branching corals"
"Branching corals","Montipora digitata",1,2,376,126,"Branching corals"
"Ahermatypic corals","Tubastrea coccinea",1,2,398,127,"Ahermatypic corals"
"Hydrocoral","Millepora intricata",7,1.97815676385714,208,128,"Hydrocoral"
"Encrusting corals","Montipora monasteriata",23,1.96689723321739,98,129,"Encrusting corals"
"Tabular Acropora corals","Acropora clathrata",14,1.95534025435714,139,130,"Tabular Acropora corals"
"Branching corals","Porites rugosa",1,1.941747573,394,131,"Branching corals"
"Corymbose Acropora corals","Corymbose Acropora corals",277,1.92440390471841,2,132,"Corymbose Acropora corals"
"Massive corals","Platygyra sinensis",12,1.91430328933333,156,133,"Massive corals"
"Columnar corals","Coscinaraea exesa",10,1.9075268817,166,134,"Columnar corals"
"Stony corals","New species record",10,1.899009901,168,135,"Stony corals"
"Stony corals","Coral Species",57,1.87298240103509,47,136,"Coral Species"
"Foliose/Plate corals","Montipora Solid plates",19,1.86792720352632,117,137,"Foliose/Plate corals"
"Hydrocoral","Millepora tenera",12,1.84106529208333,153,138,"Hydrocoral"
"Massive corals","Physogyra lichtensteini",11,1.84073057027273,165,139,"Massive corals"
"Encrusting corals","Porites vaughani",52,1.80458809232692,51,140,"Encrusting corals"
"Encrusting corals","Montipora grisea",87,1.76366258396552,30,141,"Montipora grisea"
"Corymbose Acropora corals","Acropora divaricata",23,1.75530289130435,96,142,"Corymbose Acropora corals"
"Encrusting corals","Montipora undata",15,1.75302552986667,138,143,"Encrusting corals"
"Corymbose Acropora corals","Acropora nasuta",63,1.73449971628571,40,144,"Acropora nasuta"
"Branching corals","Echinopora horrida",21,1.71438803071429,106,145,"Branching corals"
"Branching corals","Pocillopora eydouxi",30,1.70431451766667,78,146,"Branching corals"
