label,ET_grouping,Genus_GF 
Halomitra pileus,Coral mashroom unattached,Halomitra
Heliofungia actiniformis,Coral mashroom unattached,Heliofungia
Herpolitha limax,Coral mashroom unattached,Herpolitha
Sandalolitha robusta,Coral mashroom unattached,Sandalolitha
Massive corals,Coral massive,Coral massive
Plesiastrea versipora,Coral massive,Plesiastrea
Astrea annuligera,Coral submassive,Astrea
Moseleya latistellata,Coral submassive,Moseleya
Sub-massive corals,Coral submassive,Coral Submassive
Corals,Corals,Corals
Coscinaraea columna,Coscinaraea columna,Coscinaraea Submassive
Coscinaraea Encrusting,Coscinaraea Submassive,Coscinaraea Submassive
Coscinaraea exesa,Coscinaraea Submassive,Coscinaraea Submassive
Coscinaraea Submassive,Coscinaraea Submassive,Coscinaraea Submassive
Ctenactis,Ctenactis,Ctenactis
Ctenactis crassa,Ctenactis,Ctenactis
Ctenactis echinata,Ctenactis,Ctenactis
Cynarina lacrymalis,Cynarina lacrymalis,Cynarina
Cyphastrea Encrusting,Cyphastrea Encrusting,Cyphastrea Encrusting
Cyphastrea Hemispherical,Cyphastrea Hemispherical,Cyphastrea Hemispherical
Cyphastrea microphthalma,Cyphastrea microphthalma,Cyphastrea Submassive
Cyphastrea serailia,Cyphastrea serailia,Cyphastrea Submassive
Cyphastrea,Cyphastrea Submassive,Cyphastrea Submassive
Cyphastrea Branching,Cyphastrea Submassive,Cyphastrea Submassive
Cyphastrea chalcidicum,Cyphastrea Submassive,Cyphastrea Submassive
Cyphastrea Submassive,Cyphastrea Submassive,Cyphastrea Submassive
Cyphastrea agassizi,Cyphastrea Submassive,Cyphastrea Submassive
Diploastrea heliopora,Diploastrea heliopora,Diploastrea
Echinophyllia aspera,Echinophyllia aspera,Echinophyllia Encrusting
Echinophyllia,Echinophyllia Encrusting,Echinophyllia Encrusting
Echinophyllia Encrusting,Echinophyllia Encrusting,Echinophyllia Encrusting
Echinophyllia orpheensis,Echinophyllia Encrusting,Echinophyllia Encrusting
Echinopora,Echinopora,Echinopora Branching
Echinopora ashmorensis,Echinopora ashmorensis,Echinopora Branching
Echinopora Encrusting,Echinopora Encrusting,Echinopora Encrusting
Echinopora Foliose,Echinopora Encrusting,Echinopora Encrusting
Echinopora Submassive,Echinopora Encrusting,Echinopora Encrusting
Echinopora gemmacea,Echinopora gemmacea,Echinopora Encrusting
Echinopora horrida,Echinopora horrida,Echinopora branching
Echinopora lamellosa,Echinopora lamellosa,Echinopora Plating
Echinopora mammiformis,Echinopora mammiformis,Echinopora Submassive
Echinopora pacificus,Echinopora pacificus,Echinopora Plating
Euphyllia ancora,Euphyllia,Euphyllia
Euphyllia glabrescens,Euphyllia,Euphyllia
Favia favus,Favia favus,Favia Hemispherical
Favia amicorum,Favia Hemispherical,Favia Hemispherical
Favia helianthoides,Favia Hemispherical,Favia Hemispherical
Favia laxa,Favia Hemispherical,Favia Hemispherical
Favia lizardensis,Favia Hemispherical,Favia Hemispherical
Favia maritima,Favia Hemispherical,Favia Hemispherical
Favia rotumana,Favia Hemispherical,Favia Hemispherical
Favia rotundata,Favia Hemispherical,Favia Hemispherical
Favia speciosa,Favia Hemispherical,Favia Hemispherical
Favia veroni,Favia Hemispherical,Favia Hemispherical
Favia matthaii,Favia matthaii,Favia Hemispherical
Favia pallida,Favia pallida,Favia Hemispherical
Favia stelligera,Favia stelligera,Favia Submassive
Favia,Favia Submassive,Favia Submassive
Favia Hemispherical,Favia Submassive,Favia Hemispherical
Favia Submassive,Favia Submassive,Favia Submassive
Favites abdita,Favites abdita,Favites Submassive
Favites complanata,Favites complanata,Favites Submassive
Favites Encrusting,Favites Encrusting,Favites Encrusting
Favites halicora,Favites halicora,Favites Submassive
Favites,Favites Submassive,Favites Submassive
Favites flexuosa,Favites Submassive,Favites Submassive
Favites Hemispherical,Favites Submassive,Favites Hemispherical
Favites pentagona,Favites Submassive,Favites Submassive
Favites russelli,Favites Submassive,Favites Submassive
Favites Submassive,Favites Submassive,Favites Submassive
Fungia,Fungia,Fungia
Fungia concinna,Fungia,Fungia
Fungia danai,Fungia,Fungia
Fungia fungites,Fungia,Fungia
Fungia granulosa,Fungia,Fungia
Fungia horrida,Fungia,Fungia
Fungia paumotensis,Fungia,Fungia
Fungia scutaria,Fungia,Fungia
Galaxea astreata,Galaxea astreata,Galaxea Submassive
