Final_grouping,original_label,Species_comments
Echinophyllia Encrusting,Echinophyllia aspera,
Echinophyllia Encrusting,Echinophyllia Encrusting,
Echinophyllia Encrusting,Echinophyllia orpheensis,
Echinopora branching,Echinopora horrida,
Echinopora Branching,Echinopora,Mostly E. horrida or e. mammiformis
Echinopora Branching,Echinopora ashmorensis,Mostly E. horrida or e. mammiformis
Echinopora Encrusting,Echinopora Encrusting,
Echinopora Encrusting,Echinopora Foliose,
Echinopora Encrusting,Echinopora gemmacea,
Echinopora Encrusting,Echinopora Submassive,
Echinopora Plating,Echinopora lamellosa,
Echinopora Plating,Echinopora pacificus,
Echinopora Submassive,Echinopora mammiformis,
Euphyllia,Euphyllia ancora,
Euphyllia,Euphyllia glabrescens,
Favia Hemispherical,Favia amicorum,
Favia Hemispherical,Favia favus,
Favia Hemispherical,Favia helianthoides,
Favia Hemispherical,Favia Hemispherical,
Favia Hemispherical,Favia laxa,
Favia Hemispherical,Favia lizardensis,
Favia Hemispherical,Favia maritima,
Favia Hemispherical,Favia matthaii,
Favia Hemispherical,Favia pallida,
Favia Hemispherical,Favia rotumana,
Favia Hemispherical,Favia rotundata,
Favia Hemispherical,Favia speciosa,
Favia Hemispherical,Favia veroni,
Favia Submassive,Favia,
Favia Submassive,Favia stelligera,
Favia Submassive,Favia Submassive,
Favites Encrusting,Favites Encrusting,
Favites Hemispherical,Favites Hemispherical,Predominantly F. complanata
Favites Submassive,Favites,
Favites Submassive,Favites abdita,
Favites Submassive,Favites complanata,
Favites Submassive,Favites flexuosa,
Favites Submassive,Favites halicora,
Favites Submassive,Favites pentagona,
Favites Submassive,Favites russelli,
Favites Submassive,Favites Submassive,
Fungia,Fungia,
Fungia,Fungia concinna,
Fungia,Fungia danai,
Fungia,Fungia fungites,
Fungia,Fungia granulosa,
Fungia,Fungia horrida,
Fungia,Fungia paumotensis,
Fungia,Fungia scutaria,
Galaxea Branching,Galaxea horrescens,Is G. horrescens
Galaxea Submassive,Galaxea,
Galaxea Submassive,Galaxea astreata,
Galaxea Submassive,Galaxea Encrusting,
Galaxea Submassive,Galaxea fascicularis,
Galaxea Submassive,Galaxea Hemispherical,
Galaxea Submassive,Galaxea Submassive,
Gardineroseris,Gardineroseris planulata,
Goniastrea Hemispherical,Goniastrea,Mostly G. edwardsi
Goniastrea Hemispherical,Goniastrea aspera,Mostly G. edwardsi
Goniastrea Hemispherical,Goniastrea australensis,Mostly G. edwardsi
Goniastrea Hemispherical,Goniastrea edwardsi,Mostly G. edwardsi
Goniastrea Hemispherical,Goniastrea Hemispherical,Mostly G. edwardsi
Goniastrea Hemispherical,Goniastrea retiformis,Mostly G. edwardsi
Goniastrea Hemispherical,Goniastrea Submassive,Mostly G. edwardsi
Goniastrea Submassive,Goniastrea pectinata,Predominantly G. pectinata
Goniopora,Goniopora,
Goniopora Columnar or digitate,Goniopora Columnar or digitate,
Goniopora Encrusting,Goniopora Encrusting,
Goniopora Encrusting,Goniopora somaliensis,
Goniopora Hemispherical,Goniopora Hemispherical,
Goniopora Hemispherical,Goniopora Submassive,
Goniopora Hemispherical,Goniopora tenuidens,
Heliofungia,Heliofungia actiniformis,
Heliopora,Heliopora coerulea (blue coral),Is H. coerulea
Herpolitha,Herpolitha limax,Would be H. limax
Hydnophora Branching,Hydnophora Branching,
Hydnophora Branching,Hydnophora grandis,
Hydnophora Branching,Hydnophora rigida,
Hydnophora Encrusting,Hydnophora exesa,
Isopora Branching,Isopora Branching,Predominantly I. brueggemanni
Isopora Branching,Isopora brueggemanni,Predominantly I. brueggemanni
Isopora Branching,Isopora cylindrica,Predominantly I. brueggemanni
Isopora Branching,Isopora elizabethensis,Predominantly I. brueggemanni
Isopora Columnar or digitate,Isopora Columnar or digitate,Predominantly I. palifera
Isopora Columnar or digitate,Isopora palifera,Predominantly I. palifera
Isopora Encrusting,Isopora Encrusting,
Isopora Submassive,Isopora,
Isopora Submassive,Isopora cuneata,
Isopora Submassive,Isopora Submassive,
Leptastrea Encrusting,Leptastrea,
Leptastrea Encrusting,Leptastrea Encrusting,
Leptastrea Encrusting,Leptastrea pruinosa,
Leptastrea Encrusting,Leptastrea purpurea,
Leptastrea Encrusting,Leptastrea transversa,
Leptastrea Submassive,Leptastrea bottae,
Leptastrea Submassive,Leptastrea inaequalis,
Leptastrea Submassive,Leptastrea Submassive,
Leptoria,Leptoria phrygia,Is L. phrygia
Leptoseris Encrusting,Leptoseris,
Leptoseris Encrusting,Leptoseris Encrusting,
Leptoseris Encrusting,Leptoseris mycetoseroides,
Leptoseris Encrusting,Leptoseris scabra,
Leptoseris Encrusting,Leptoseris yabei,
Lobophyllia Hemispherical,Lobophyllia corymbosa,
Lobophyllia Hemispherical,Lobophyllia hemprichii,
Lobophyllia Hemispherical,Lobophyllia robusta,
Lobophyllia Submassive,Lobophyllia,
Lobophyllia Submassive,Lobophyllia dentatus,
Lobophyllia Submassive,Lobophyllia Hemispherical,
Lobophyllia Submassive,Lobophyllia pachysepta,
Merulina Submassive,Merulina ampliata,
Merulina Submassive,Merulina scabricula,
Millepora Branching,Millepora,
Millepora Branching,Millepora branching,
Millepora Branching,Millepora dichotoma,
Millepora Branching,Millepora intricata,
Millepora Branching,Millepora tenera,
Millepora Submassive,Millepora exaesa,Is M. exeaesa
Montipora Branching,Montipora digitata,
Montipora Branching,Montipora stellata,
Montipora Encrusting,Montipora,
Montipora Encrusting,Montipora crassituberculata,
Montipora Encrusting,Montipora danae,
Montipora Encrusting,Montipora efflorescens,
Montipora Encrusting,Montipora Encrusting,
Montipora Encrusting,Montipora floweri,
Montipora Encrusting,Montipora grisea,
Montipora Encrusting,Montipora hoffmeisteri,
Montipora Encrusting,Montipora incrassata,
Montipora Encrusting,Montipora informis,
Montipora Encrusting,Montipora monasteriata,
Montipora Encrusting,Montipora palawanensis,
Montipora Encrusting,Montipora peltiformis,
Montipora Encrusting,Montipora tuberculosa,
Montipora Encrusting,Montipora turgescens,
Montipora Encrusting,Montipora undata,
Montipora Encrusting,Montipora verrucosa,
Montipora Foliose plate,Montipora aequituberculata,
Montipora Foliose plate,Montipora corbettensis,
Montipora Foliose plate,Montipora foliosa,
Montipora Foliose plate,Montipora Foliose,
Montipora Foliose plate,Montipora Solid plates,
Montipora Submassive,Montipora caliculata,
Montipora Submassive,Montipora Columnar or digitate,
Montipora Submassive,Montipora foveolata,
Montipora Submassive,Montipora Hemispherical,
Montipora Submassive,Montipora hispida,
Montipora Submassive,Montipora meandrina,
Montipora Submassive,Montipora nodosa,
Montipora Submassive,Montipora spongodes,
Montipora Submassive,Montipora spumosa,
Montipora Submassive,Montipora Submassive,
Montipora Submassive,Montipora venosa,
Mycedium Foliose Plate,NA,Mostly M. elephantotus
Oulophyllia Hemispherical,Oulophyllia,
Oulophyllia Hemispherical,Oulophyllia bennettae,
