"GenusGF","mean.T2.T1.","t.stat","p.param","p.perm","p..0.05","sign.T2.T1."
"Cyphastrea.Submassive",-0.241225326437098,-2.84306955285798,0.00334795499281583,0.01,"*",-1
"Echinophyllia.Encrusting",-0.0832266766249172,-2.31243285513673,0.0126923300014457,0.01,"*",-1
"Echinopora.Plating",-0.172554914657955,-2.76628923501681,0.00409802864409301,0.01,"*",-1
"Heliopora",0.0918643474556078,2.54503884934699,0.00721257073450746,0.01,"*",1
"Isopora.Branching",-0.416156399021249,-3.20874260257441,0.00122935787120813,0.01,"*",-1
"Montipora.Encrusting",-0.371997628089078,-2.86494505530583,0.00315885638872156,0.01,"*",-1
"Porites.Branching",-0.278709894544656,-2.59440967925765,0.00637225868040885,0.01,"*",-1
"Acropora.Tabular",-0.339784115263445,-2.2891149786133,0.0134090111484233,0.02,"*",-1
"Coeloseris",-0.122715732732042,-2.80075069444375,0.00374395175246572,0.03,"*",-1
"Isopora.Columnar.or.digitate",-0.169951118168921,-1.81966984643386,0.0377327672899937,0.03,"*",-1
"Leptastrea.Encrusting",0.106252940627504,1.89896093468112,0.0319960912974639,0.03,"*",1
"Galaxea.Submassive",-0.131945010930682,-1.79838157166607,0.0394132455626277,0.04,"*",-1
"Leptastrea.Submassive",-0.0881124346986474,-1.67492810400739,0.050442575730166,0.04,"*",-1
