"GenusGF","mean.T2.T1.","t.stat","p.param","p.perm","p..0.05","sign.T2.T1."
"Cyphastrea.Submassive",-0.242235436670457,-2.3902674201631,0.0131435443750279,0.02,"*",-1
"Acropora.Digitate",0.165372514585346,1.59791782887702,0.0625000614784797,0.03,"*",1
