"GenusGF","mean.T2.T1.","t.stat","p.param","p.perm","p..0.05","sign.T2.T1."
"Acanthastrea.Submassive",-0.066479541352609,-2.30929788071272,0.0123542694258636,0.01,"*",-1
"Acropora.Corymbose",0.267857729295922,2.81005533626727,0.00342372547109929,0.01,"*",1
"Astrea",-0.106861795282658,-2.99903171604637,0.00203107171035335,0.01,"*",-1
"Stylophora",0.168024820013362,2.24821964952758,0.0142951274344275,0.01,"*",1
"Cyphastrea.Submassive",-0.178133117992415,-2.43139764311809,0.00916316833691372,0.02,"*",-1
"Porites.Massive",0.260556373005357,3.16241828503561,0.00127334756245574,0.02,"*",1
"Seriatopora",0.0453988065500179,1.7721476940474,0.0409544897887475,0.03,"*",1
