SiteID,long,lat
1,151.75731,-23.53652
2,151.908633,-23.175483
3,151.915433,-23.1778
4,151.74968,-23.5341
5,151.7747,-23.49835
6,151.7789,-23.49845
7,151.94545,-23.25245
8,151.94255,-23.249566
9,145.99349,-16.52825
10,145.8291,-15.9758
11,145.81968,-15.96846
12,145.80432,-15.9609
13,152.23517,-19.29696
14,149.182624,-16.947773
15,151.07258,-17.41432
16,151.07128,-17.41703
17,151.07027,-17.43525
18,151.07127,-17.4347
19,149.19696,-16.93653
20,150.736917,-17.71175
21,150.7345,-17.71298
22,150.63277,-17.77473
23,149.19332,-16.93007
24,148.51165,-17.87718
25,148.50514,-17.82899
26,148.43873,-17.71666
27,148.4373,-17.71505
28,148.4606,-17.70575
29,148.46176,-17.70304
30,149.20228,-16.92822
31,149.999,-16.93133
32,150.00203,-16.93012
33,149.99043,-16.93157
34,150.00092,-16.9366
35,150.26845,-16.53378
36,150.26973,-16.53091
37,150.27712,-16.52097
38,149.96294,-16.29907
39,149.95958,-16.28601
40,149.96138,-16.2927
41,147.84345,-16.49974
42,147.84033,-16.51274
43,147.84016,-16.50813
44,147.84137,-16.50487
45,150.00647,-16.92247
46,147.84932,-16.49493
47,147.86608,-16.47592
48,147.86472,-16.46823
49,146.62455,-13.85535
50,146.6254,-13.854
51,146.55312,-13.8914
52,146.56243,-13.88295
53,146.5576,-13.8954
54,146.57765,-13.87003
55,150.01143,-16.92251
56,149.90476,-16.97162
57,147.0903,-15.48855
58,147.0993,-15.48253
59,147.10716,-15.48885
60,147.10759,-15.48433
61,147.08723,-15.4908
62,147.10453,-15.48135
63,146.69139,-13.98559
64,146.69067,-13.99381
65,146.67549,-13.97563
66,149.90547,-16.96134
67,146.66721,-13.96688
68,146.6806,-13.96617
69,146.57249,-13.89028
70,146.56733,-13.88715
71,146.54613,-13.80117
72,144.44918,-10.44533
73,144.45243,-10.43422
74,144.45293,-10.44136
75,144.43016,-10.44121
76,144.43347,-10.44697
77,144.5215,-10.29918
78,144.53391,-10.37448
79,144.69198,-10.03875
80,144.5954,-10.21767
81,144.58955,-10.22733
82,144.58684,-10.23257
83,152.21197,-19.28441
84,155.53484,-23.24725
85,144.45777,-10.11558
86,144.68513,-10.10505
87,144.69456,-9.96837
88,144.6913,-9.98877
89,144.694,-9.97456
90,155.55157,-23.25288
91,144.57626,-10.14414
92,144.57013,-10.14587
93,155.55458,-23.25491
94,155.55701,-23.24037
95,155.54233,-23.24474
96,155.54893,-23.244
97,152.22077,-19.28476
98,155.47404,-22.17677
99,155.47695,-22.17306
100,155.45378,-22.16356
101,155.45462,-22.17084
102,155.45081,-22.16866
103,155.36165,-22.1854
104,155.35576,-22.18586
105,155.35547,-22.18985
106,152.32594,-19.23026
107,155.29443,-22.1977
108,155.17601,-22.18602
109,155.16463,-22.17629
110,155.17796,-22.17583
111,153.5935,-21.89659
112,153.53757,-21.89729
113,152.3482,-19.25323
114,153.57968,-21.91736
115,153.58669,-21.91631
116,155.7542,-21.25707
117,155.75466,-21.25459
118,155.76086,-21.2535
119,155.76361,-21.248
120,155.76497,-21.24541
121,155.76575,-21.19993
122,152.34184,-19.25796
123,155.77281,-21.20282
124,155.76982,-21.20865
125,154.3944,-21.0003
126,154.39374,-20.99787
127,154.39197,-21.0065
128,152.38809,-19.1254
129,154.3699,-21.020283
130,154.37269,-21.02036
131,154.39572,-20.93697
132,154.39723,-20.93624
133,152.38714,-19.09532
134,149.200022,-16.921938
135,151.77309,-23.24659
136,151.77568,-23.24371
137,152.41618,-23.89878
138,149.13292,-19.81261
139,149.13617,-19.81349
140,152.39361,-23.89929
141,145.6632,-14.66452
142,144.50067,-13.97733
143,144.50024,-13.98066
144,143.40371,-12.28595
145,143.41092,-12.28241
146,143.40709,-12.28121
147,143.40302,-12.28091
148,143.40232,-12.29055
149,143.71759,-10.28793
150,143.70978,-10.2875
151,143.65005,-11.76571
152,143.64859,-12.16237
153,143.76197,-12.38375
154,143.75672,-12.38175
155,143.772,-12.38391
156,143.58327,-12.62531
157,143.8151,-12.87385
158,143.82034,-12.87695
159,144.28213,-13.8185
160,144.68397,-13.99527
161,144.67643,-13.98947
162,144.71335,-14.0108
163,145.5309,-14.51742
164,145.571,-16.3835
165,143.37201,-12.40092
166,144.15061,-9.95826
167,144.03178,-9.9513
168,143.86969,-10.06687
169,143.87544,-10.0696
170,143.883,-10.0599
171,143.09259,-10.52274
172,150.98134,-23.18711
173,148.92328,-20.06494
174,148.88061,-20.04033
175,145.46565,-14.68717
176,145.44327,-14.68708
177,145.44227,-14.66541
178,145.45076,-14.65706
179,145.45049,-14.65528
180,145.44851,-14.65101
181,145.45386,-14.6461
