SiteID,long,lat
182,145.45471,-14.64524
183,147.70284,-18.66084
184,147.723103,-18.661726
185,147.70988,-18.65153
186,150.937484,-23.1957
187,152.5349,-22.38397
188,114.17564,-21.83921
189,114.16954,-21.85245
190,114.15926,-21.86648
191,114.17777,-21.83633
192,113.75987,-23.17701
193,113.75364,-23.14152
194,113.76354,-23.19995
195,113.7807,-23.31925
196,113.76443,-22.86905
197,113.77937,-22.92875
198,113.75232,-23.12872
199,113.77923,-23.33246
200,113.75042,-23.11234
201,113.76296,-23.21313
202,113.76328,-23.20838
203,113.76169,-23.17989
204,113.76397,-23.17758
205,113.73966,-23.09197
206,113.75562,-23.12142
207,113.81843,-23.04473
208,113.76709,-23.14221
209,113.76248,-23.20194
210,113.75209,-23.19459
211,113.75466,-23.2175
212,113.7404,-23.13496
213,113.79429,-23.098
214,113.75708,-23.16925
215,113.81886,-23.04801
216,113.760286,-23.206149
217,113.75582,-23.16465
218,113.75875,-23.16108
219,113.76097,-23.17642
220,113.76158,-23.12627
221,124.2757,-12.8034
222,123.32136,-11.97452
223,119.37575,-17.29965
224,119.38393,-17.35516
225,119.37816,-17.3139
226,123.33523,-11.98059
227,123.33757,-11.97626
228,123.3271,-11.9834
229,123.00392,-12.217
230,123.00575,-12.2159
231,122.98389,-12.23963
232,124.99591,-14.49741
233,124.33321,-15.0667
234,123.04739,-15.92443
235,123.04187,-15.92278
236,123.35675,-15.7837
237,123.23433,-15.51735
238,123.26715,-15.51897
239,122.99063,-12.24179
240,123.24475,-15.45017
241,123.25202,-15.44617
242,121.97364,-14.07044
243,121.96976,-14.12994
244,121.90265,-13.92629
245,121.91215,-13.91925
246,122.00576,-13.62454
247,122.02215,-13.6323
248,123.04095,-12.19673
249,123.04288,-12.20716
250,122.984927,-12.241222
251,123.05053,-12.21192
252,123.07672,-12.18941
253,123.05939,-12.17455
254,123.06644,-12.17552
255,123.07097,-12.17905
256,123.11123,-12.18477
257,123.57526,-12.52576
258,123.57985,-12.53478
259,123.57827,-12.52658
260,123.57215,-12.52527
261,122.983286,-12.240542
262,123.56892,-12.52495
263,123.56482,-12.5245
264,123.58274,-12.52689
265,123.56101,-12.52436
266,123.5508,-14.10193
267,123.55655,-14.10958
268,123.55491,-14.1045
269,125.35585,-14.05661
270,125.3604,-14.05545
271,125.64153,-13.94304
272,124.0382,-12.5583
273,123.00182,-12.24414
274,125.63595,-13.94105
275,127.2726,-13.82453
276,122.99881,-12.24405
277,122.986398,-12.241092
278,122.99001,-12.23384
279,122.985307,-12.242641
280,122.986433,-12.239894
281,121.99474,-13.62389
282,121.961272,-14.070388
283,121.94218,-14.1327
284,121.94546,-14.12668
285,123.3878,-11.9719
286,121.9589,-14.14184
287,121.95693,-14.14383
288,121.96473,-14.10934
289,121.95847,-14.05597
290,121.9653,-14.06257
291,121.95083,-14.0717
292,121.78767,-14.0747
293,121.78072,-14.0453
294,121.77651,-14.06866
295,121.74816,-14.0828
296,123.3794,-11.969
297,121.742,-14.0785
298,121.72068,-14.10823
299,123.38074,-11.97961
300,118.97,-17.6101
301,118.96364,-17.6089
302,118.96364,-17.6089
303,118.96872,-17.579
304,118.9369,-17.5804
305,118.97193,-17.56991
306,118.9747,-17.6102
307,118.9737,-17.548
308,118.9738,-17.5531
309,118.9668,-17.54732
310,123.38116,-11.97448
311,118.96884,-17.54749
312,118.9724,-17.5582
313,118.96635,-17.50713
314,118.96276,-17.50218
315,118.94214,-17.56045
316,119.6277,-17.1641
317,119.6539,-17.0764
318,119.6455,-17.07374
319,119.64696,-17.06263
320,119.6494,-17.0658
321,123.3586,-11.9671
322,119.6339,-17.13371
323,119.6311,-17.15365
324,119.64617,-17.0754
325,119.64167,-17.06644
326,119.643667,-17.06983
327,119.6148,-17.08687
328,119.63474,-17.11469
329,119.64815,-17.06202
330,119.64027,-17.0666
331,119.6533,-17.0721
332,123.36079,-11.97908
333,119.65518,-17.08181
334,119.61792,-17.02767
335,119.5962,-17.0762
336,119.35201,-17.24607
337,119.34713,-17.24612
338,119.35201,-17.24607
339,119.3781,-17.2927
340,119.3769,-17.2843
341,119.3775,-17.288
342,119.36037,-17.25302
343,123.33694,-11.9706
344,119.3724,-17.28632
345,119.37301,-17.28312
346,119.37053,-17.28321
347,119.3423,-17.29772
348,119.33673,-17.30364
349,119.3675,-17.31065
350,119.3605,-17.31882
351,119.3675,-17.3155
352,119.37064,-17.30694
353,119.35929,-17.2909
354,123.05123,-16.43598
355,123.08899,-16.43131
356,123.068522,-16.430728
357,123.033795,-16.419257
358,123.03509,-16.39654
