Region,SiteCode,SiteLong,SiteLat,SiteLong_rd,SiteLat_rd,Mean_SST_cl,SD_SST_cl,npp_mean,npp_min,npp_max,npp_sd,npp_interann_sd,npp_flag,wave_mean,wave_sd,wave_interann_sd
GBR,CS13,149.20228,-16.92822,149.2,-16.9,26.42659076,1.459770663,503.7209253,359.6265622,733.3130219,97.49255487,32.09469917,1,14.06394452,4.186165418,1.780958511
GBR,CS130,149.999,-16.93133,150,-16.9,26.40622075,1.406153409,563.8611307,349.089414,783.2212006,119.4499905,38.80415834,1,13.64472862,3.810286197,1.620590657
GBR,CS131,150.00203,-16.93012,150,-16.9,26.39959812,1.402978955,563.8611307,349.089414,783.2212006,119.4499905,38.80415834,1,13.64472862,3.810286197,1.620590657
GBR,CS132,149.99043,-16.93157,150,-16.9,26.40622075,1.406153409,558.2775282,353.4142454,808.386731,116.5084673,35.14621774,1,13.49075841,3.778195569,1.608327696
GBR,CS134,150.00092,-16.9366,150,-16.9,26.39959812,1.402978955,563.8611307,349.089414,783.2212006,119.4499905,38.80415834,1,13.64472862,3.810286197,1.620590657
GBR,CS139,150.26845,-16.53378,150.3,-16.5,26.51517487,1.365096306,1200.515811,392.822998,2248.48999,503.6206741,144.7562409,0,16.76206124,4.84263313,2.01333955
GBR,CS140,150.26973,-16.53091,150.3,-16.5,26.51517487,1.365096306,1200.515811,392.822998,2248.48999,503.6206741,144.7562409,0,16.76206124,4.84263313,2.01333955
GBR,CS141,150.27712,-16.52097,150.3,-16.5,26.51517487,1.365096306,1200.515811,392.822998,2248.48999,503.6206741,144.7562409,0,16.76206124,4.84263313,2.01333955
GBR,CS143,149.96294,-16.29907,150,-16.3,26.56409725,1.371325188,540.0744623,363.0786667,766.3354752,97.30376194,52.73269531,1,15.96832468,4.674292487,1.926310214
GBR,CS144,149.95958,-16.28601,150,-16.3,26.56409725,1.371325188,511.5097899,322.0633367,755.5010613,96.77442787,51.48437477,1,15.83975687,4.637909126,1.903332478
GBR,CS145,149.96138,-16.2927,150,-16.3,26.56409725,1.371325188,511.5097899,322.0633367,755.5010613,96.77442787,51.48437477,1,15.83975687,4.637909126,1.903332478
GBR,CS146,147.84345,-16.49974,147.8,-16.5,26.47688866,1.518971322,605.2635291,421.7403259,895.8731934,111.0568044,25.09567521,1,14.53334861,4.617828988,1.803856124
GBR,CS147,147.84033,-16.51274,147.8,-16.5,26.46475967,1.523042342,564.3459576,440.696991,750.7237915,88.19764398,18.908235,0,14.83343402,4.700932971,1.837590965
GBR,CS148,147.84016,-16.50813,147.8,-16.5,26.46475967,1.523042342,564.3459576,440.696991,750.7237915,88.19764398,18.908235,0,14.83343402,4.700932971,1.837590965
GBR,CS149,147.84137,-16.50487,147.8,-16.5,26.46475967,1.523042342,564.3459576,440.696991,750.7237915,88.19764398,18.908235,0,14.83343402,4.700932971,1.837590965
GBR,CS15,150.00647,-16.92247,150,-16.9,26.39959812,1.402978955,563.8611307,349.089414,783.2212006,119.4499905,38.80415834,1,13.64472862,3.810286197,1.620590657
GBR,CS150,147.84932,-16.49493,147.8,-16.5,26.47688866,1.518971322,605.2635291,421.7403259,895.8731934,111.0568044,25.09567521,1,14.53334861,4.617828988,1.803856124
GBR,CS151,147.86608,-16.47592,147.9,-16.5,26.47304583,1.517630873,605.2635291,421.7403259,895.8731934,111.0568044,25.09567521,1,14.53334861,4.617828988,1.803856124
GBR,CS152,147.86472,-16.46823,147.9,-16.5,26.47304583,1.517630873,605.2635291,421.7403259,895.8731934,111.0568044,25.09567521,1,14.53334861,4.617828988,1.803856124
GBR,CS153,146.62455,-13.85535,146.6,-13.9,26.80614869,1.456880782,553.6866416,369.4803314,741.2682543,102.7571296,34.18457596,1,16.68251706,6.885262262,1.95303071
GBR,CS154,146.6254,-13.854,146.6,-13.9,26.80614869,1.456880782,553.6866416,369.4803314,741.2682543,102.7571296,34.18457596,1,16.68251706,6.885262262,1.95303071
GBR,CS155,146.55312,-13.8914,146.6,-13.9,26.80084912,1.458508911,950.5023136,649.2591756,1325.231157,134.7042682,58.92591468,1,14.4147459,5.92323573,1.65742035
GBR,CS156,146.56243,-13.88295,146.6,-13.9,26.80084912,1.458508911,950.5023136,649.2591756,1325.231157,134.7042682,58.92591468,1,14.4147459,5.92323573,1.65742035
GBR,CS157,146.5576,-13.8954,146.6,-13.9,26.80084912,1.458508911,950.5023136,649.2591756,1325.231157,134.7042682,58.92591468,1,14.4147459,5.92323573,1.65742035
GBR,CS158,146.57765,-13.87003,146.6,-13.9,26.80084912,1.458508911,973.8210404,671.4751765,1359.145996,136.034556,60.52361042,1,14.60699073,6.094506447,1.686336869
GBR,CS16,150.01143,-16.92251,150,-16.9,26.39959812,1.402978955,563.8611307,349.089414,783.2212006,119.4499905,38.80415834,1,13.64472862,3.810286197,1.620590657
GBR,CS17,149.90476,-16.97162,149.9,-17,26.39262597,1.411032317,590.254984,437.9720735,810.87744,104.1445806,35.54754473,1,13.53335994,3.827995729,1.640892869
GBR,CS171,147.0903,-15.48855,147.1,-15.5,26.66940006,1.499745898,785.5857496,401.9490051,1493.795044,271.1358823,68.6656168,0,15.24320079,5.441856169,1.871494305
GBR,CS172,147.0993,-15.48253,147.1,-15.5,26.66940006,1.499745898,785.5857496,401.9490051,1493.795044,271.1358823,68.6656168,0,15.24320079,5.441856169,1.871494305
GBR,CS173,147.10716,-15.48885,147.1,-15.5,26.67396768,1.496951193,785.5857496,401.9490051,1493.795044,271.1358823,68.6656168,0,15.24320079,5.441856169,1.871494305
GBR,CS174,147.10759,-15.48433,147.1,-15.5,26.67396768,1.496951193,785.5857496,401.9490051,1493.795044,271.1358823,68.6656168,0,15.24320079,5.441856169,1.871494305
GBR,CS175,147.08723,-15.4908,147.1,-15.5,26.66940006,1.499745898,785.5857496,401.9490051,1493.795044,271.1358823,68.6656168,0,15.24320079,5.441856169,1.871494305
GBR,CS176,147.10453,-15.48135,147.1,-15.5,26.67396768,1.496951193,785.5857496,401.9490051,1493.795044,271.1358823,68.6656168,0,15.24320079,5.441856169,1.871494305
GBR,CS177,146.69139,-13.98559,146.7,-14,26.79841391,1.453904009,648.35591,383.2256673,1023.183218,146.7919281,40.66771536,1,15.82605355,6.463879901,1.873700419
GBR,CS178,146.69067,-13.99381,146.7,-14,26.79841391,1.453904009,648.35591,383.2256673,1023.183218,146.7919281,40.66771536,1,15.82605355,6.463879901,1.873700419
GBR,CS179,146.67549,-13.97563,146.7,-14,26.79841391,1.453904009,648.35591,383.2256673,1023.183218,146.7919281,40.66771536,1,15.82605355,6.463879901,1.873700419
GBR,CS18,149.90547,-16.96134,149.9,-17,26.39262597,1.411032317,561.8001804,411.4120646,752.7998907,102.6364834,36.62269529,1,13.59502539,3.850600004,1.644830705
GBR,CS180,146.66721,-13.96688,146.7,-14,26.79841391,1.453904009,648.35591,383.2256673,1023.183218,146.7919281,40.66771536,1,15.82605355,6.463879901,1.873700419
GBR,CS181,146.6806,-13.96617,146.7,-14,26.79841391,1.453904009,648.35591,383.2256673,1023.183218,146.7919281,40.66771536,1,15.82605355,6.463879901,1.873700419
GBR,CS182,146.57249,-13.89028,146.6,-13.9,26.80084912,1.458508911,950.5023136,649.2591756,1325.231157,134.7042682,58.92591468,1,14.4147459,5.92323573,1.65742035
GBR,CS183,146.56733,-13.88715,146.6,-13.9,26.80084912,1.458508911,950.5023136,649.2591756,1325.231157,134.7042682,58.92591468,1,14.4147459,5.92323573,1.65742035
GBR,CS184,146.54613,-13.80117,146.5,-13.8,26.80534379,1.457273647,818.7632354,578.105334,1146.654325,123.3897309,56.34619953,1,16.36112821,6.870949948,1.92306801
GBR,CS185,144.44918,-10.44533,144.4,-10.4,26.85025056,1.375671951,736.8107613,516.7382253,1043.439203,118.5968024,53.75864276,1,15.75321679,8.823806164,1.833137017
GBR,CS186,144.45243,-10.43422,144.5,-10.4,26.85519663,1.375965565,736.8107613,516.7382253,1043.439203,118.5968024,53.75864276,1,15.75321679,8.823806164,1.833137017
GBR,CS187,144.45293,-10.44136,144.5,-10.4,26.85519663,1.375965565,736.8107613,516.7382253,1043.439203,118.5968024,53.75864276,1,15.75321679,8.823806164,1.833137017
GBR,CS188,144.43016,-10.44121,144.4,-10.4,26.85025056,1.375671951,736.8107613,516.7382253,1043.439203,118.5968024,53.75864276,1,15.75321679,8.823806164,1.833137017
GBR,CS189,144.43347,-10.44697,144.4,-10.4,26.85025056,1.375671951,736.8107613,516.7382253,1043.439203,118.5968024,53.75864276,1,15.75321679,8.823806164,1.833137017
GBR,CS190,144.5215,-10.29918,144.5,-10.3,26.86154461,1.356393227,1028.625252,767.9559725,1330.171529,133.797753,79.1224106,1,15.51430597,8.674984008,1.780537596
GBR,CS191,144.53391,-10.37448,144.5,-10.4,26.85943858,1.370277924,843.6462141,625.8260252,1143.090224,125.6163351,66.3895071,1,15.61973585,8.721626527,1.796770133
GBR,CS193,144.69198,-10.03875,144.7,-10,26.93708738,1.339617736,835.2871103,578.3785807,1157.122084,138.4840361,64.60952632,1,15.18578941,8.448684852,1.707982056
GBR,CS195,144.5954,-10.21767,144.6,-10.2,26.87410704,1.352865153,975.90969,741.918335,1287.799967,133.5237695,69.90438162,0,15.34099598,8.540077697,1.739580406
GBR,CS197,144.58955,-10.22733,144.6,-10.2,26.87410704,1.352865153,975.90969,741.918335,1287.799967,133.5237695,69.90438162,0,15.34099598,8.540077697,1.739580406
GBR,CS198,144.58684,-10.23257,144.6,-10.2,26.87410704,1.352865153,975.90969,741.918335,1287.799967,133.5237695,69.90438162,0,15.34099598,8.540077697,1.739580406
GBR,CS2,152.21197,-19.28441,152.2,-19.3,25.77992646,1.537101042,564.1330742,383.1545773,802.5923262,117.7356309,20.4246317,1,17.36667143,5.19702676,2.06691991
GBR,CS20,155.53484,-23.24725,155.5,-23.2,24.52888711,1.707727245,633.5232389,369.0546207,1039.605032,198.2136269,40.3896047,1,22.53482329,6.439692416,2.37620727
GBR,CS200,144.45777,-10.11558,144.5,-10.1,26.87723176,1.335321796,1029.363297,713.3060574,1565.094981,180.4313539,65.22939267,1,14.95396657,8.455298553,1.708182833
GBR,CS204,144.68513,-10.10505,144.7,-10.1,26.91428947,1.350662576,761.5345349,509.3113302,1028.922134,126.8763047,61.64349575,1,15.24741357,8.459967034,1.713187242
GBR,CS207,144.69456,-9.96837,144.7,-10,26.94730139,1.335212772,920.2723548,656.7412482,1351.236654,162.5752017,82.18932815,1,15.14208194,8.436268714,1.703930494
GBR,CS208,144.6913,-9.98877,144.7,-10,26.94730139,1.335212772,920.2723548,656.7412482,1351.236654,162.5752017,82.18932815,1,15.14208194,8.436268714,1.703930494
GBR,CS209,144.694,-9.97456,144.7,-10,26.94730139,1.335212772,920.2723548,656.7412482,1351.236654,162.5752017,82.18932815,1,15.14208194,8.436268714,1.703930494
GBR,CS21,155.55157,-23.25288,155.6,-23.3,24.5015521,1.712073673,629.4140824,385.1713684,1030.933679,195.7355981,39.40935099,1,22.66322646,6.466156393,2.382823912
GBR,CS211,144.57626,-10.14414,144.6,-10.1,26.892989,1.340376779,1416.711859,1022.389669,2055.839966,255.5951049,76.54050298,0,15.05151838,8.431238382,1.703990223
GBR,CS212,144.57013,-10.14587,144.6,-10.1,26.892989,1.340376779,1416.711859,1022.389669,2055.839966,255.5951049,76.54050298,0,15.05151838,8.431238382,1.703990223
GBR,CS22,155.55458,-23.25491,155.6,-23.3,24.5015521,1.712073673,629.4140824,385.1713684,1030.933679,195.7355981,39.40935099,1,22.66322646,6.466156393,2.382823912
GBR,CS23,155.55701,-23.24037,155.6,-23.2,24.51579682,1.707610825,629.4140824,385.1713684,1030.933679,195.7355981,39.40935099,1,22.66322646,6.466156393,2.382823912
GBR,CS24,155.54233,-23.24474,155.5,-23.2,24.52888711,1.707727245,629.4140824,385.1713684,1030.933679,195.7355981,39.40935099,1,22.66322646,6.466156393,2.382823912
GBR,CS25,155.54893,-23.244,155.5,-23.2,24.52888711,1.707727245,629.4140824,385.1713684,1030.933679,195.7355981,39.40935099,1,22.66322646,6.466156393,2.382823912
