"survey_id","is_NESP_pre.post"
"912344174","Pre"
"912344175","Pre"
"912344176","Pre"
"912344177","Pre"
"912344178","Pre"
"912344179","Pre"
"912344180","Pre"
"912344181","Pre"
"912344182","Pre"
"912344183","Pre"
"912344184","Pre"
"912344185","Pre"
"912344186","Pre"
"912344187","Pre"
"912344188","Pre"
"912344189","Pre"
"912344190","Pre"
"912344191","Pre"
"912344192","Pre"
"912344193","Pre"
"912344194","Pre"
"912344195","Pre"
"912344196","Pre"
"912344197","Pre"
"912344198","Pre"
"912344199","Pre"
"912344200","Pre"
"912344201","Pre"
"912344202","Pre"
"912344203","Pre"
"912344204","Pre"
"912344205","Pre"
"912344206","Pre"
"912344207","Pre"
"912344208","Pre"
"912344209","Pre"
"912344210","Pre"
"912344212","Pre"
"912344213","Pre"
"912344214","Pre"
"912344215","Pre"
"912344216","Pre"
"912344217","Pre"
"912344218","Pre"
"912344219","Pre"
"912344220","Pre"
"912344221","Pre"
"912344222","Pre"
"912344223","Pre"
"912344224","Pre"
"912344225","Pre"
"912344226","Pre"
"912344227","Pre"
"912344228","Pre"
"912344229","Pre"
"912344230","Pre"
"912344231","Pre"
"912344232","Pre"
"912344233","Pre"
"912344234","Pre"
"912344235","Pre"
"912344236","Pre"
"912344237","Pre"
"912344238","Pre"
"912344239","Pre"
"912344240","Pre"
"912344241","Pre"
"912344242","Pre"
"912344243","Pre"
"912344244","Pre"
"912344245","Pre"
"912344246","Pre"
"912344247","Pre"
"912344248","Pre"
"912344249","Pre"
"912344250","Pre"
"912344251","Pre"
"912344252","Pre"
"912344253","Pre"
"912344254","Pre"
"912344255","Pre"
"912344257","Pre"
"912344258","Pre"
"912344260","Pre"
"912344261","Pre"
"912344262","Pre"
"912344263","Pre"
"912344264","Pre"
"912344265","Pre"
"912344266","Pre"
"912344267","Pre"
"912344268","Pre"
"912344958","Pre"
"912345361","Pre"
"912345362","Pre"
"912345363","Pre"
"912345364","Pre"
"912345388","Pre"
"912345389","Pre"
"912345390","Pre"
"912345399","Pre"
"912345400","Pre"
"912345436","Pre"
"912345437","Pre"
"912345438","Pre"
"912345439","Pre"
"912345440","Pre"
"912345441","Pre"
"912345442","Pre"
"912345443","Pre"
"912345444","Pre"
"912345445","Pre"
"912345446","Pre"
"912345447","Pre"
"912345448","Pre"
"912345449","Pre"
"912345450","Pre"
"912345451","Pre"
"912345452","Pre"
"912345453","Pre"
"912345456","Pre"
"912345457","Pre"
"912345458","Pre"
"912345459","Pre"
"912345461","Pre"
"912345468","Pre"
"912345469","Pre"
"912345471","Pre"
"912345472","Pre"
"912345473","Pre"
"912345474","Pre"
"912345475","Pre"
"912345478","Pre"
"912345481","Pre"
"912345482","Pre"
"912345483","Pre"
"912345484","Pre"
"912345485","Pre"
"912345489","Pre"
"912345490","Pre"
"912345491","Pre"
"912345492","Pre"
"912345493","Pre"
"912345494","Pre"
"912345495","Pre"
"912345496","Pre"
"912345497","Pre"
"912345498","Pre"
"912345503","Pre"
"912345504","Pre"
"912345512","Pre"
"912345515","Pre"
"912345516","Pre"
"912345517","Pre"
"912345519","Pre"
"912345521","Pre"
"912345522","Pre"
"912345523","Pre"
"912345524","Pre"
"912345526","Pre"
"912345527","Pre"
"912345528","Pre"
"912345530","Pre"
"912345531","Pre"
"912345532","Pre"
"912345533","Pre"
"912345534","Pre"
"912345535","Pre"
"912345536","Pre"
"912345537","Pre"
"912345710","Pre"
"912345711","Pre"
"912345716","Pre"
"912345717","Pre"
"912345722","Pre"
"912345723","Pre"
"912345732","Pre"
"912345733","Pre"
"912345853","Pre"
"912345854","Pre"
"912345858","Pre"
"912345859","Pre"
"912345860","Pre"
"912345861","Pre"
"912345865","Pre"
"912345866","Pre"
"912346317","Post"
"912346318","Post"
"912346321","Post"
"912346322","Post"
"912346323","Post"
"912346324","Post"
"912346327","Post"
"912346328","Post"
"912346329","Post"
"912346330","Post"
"912346331","Post"
"912346332","Post"
"912346333","Post"
"912346334","Post"
"912346335","Post"
"912346336","Post"
"912346339","Post"
"912346340","Post"
"912346343","Post"
"912346344","Post"
"912346346","Post"
"912346347","Post"
"912346355","Post"
"912346356","Post"
"912346767","Post"
"912346768","Post"
"912346769","Post"
"912346770","Post"
"912346771","Post"
"912346772","Post"
"912346773","Post"
"912346774","Post"
