"","X1","X2","X3","X4","X5","X6","X7","ind.Coral...pval..."
"Heliopora.coerulea..blue.coral.",0,0,0.000509680612325251,0,0.0421472452428555,0.0168575639013447,0.0259042376679257,0.33
"Pavona.venosa",0,0,0,0,0,0.0555555555555556,0,0.1
"Acropora.abrolhosensis",0,0,0,0,0.0038478937458955,0.0862696478066686,0.00921203195314089,0.02
"Pachyseris.rugosa",0,0,0.000295716065221961,0,0,0.0852865825310019,0.00848474791051265,0.03
"Branching.Pocillopora",0,0,0,0,0,0,0.0204081632653061,0.65
"Astreopora.Solid.plates",0,0,0,0,0,0,0.0204081632653061,0.68
"Acropora.pulchra",0,0,0.000867206450107807,0,0.00172385308021488,0.247215349190355,0.000418890083270247,0.01
"Alveopora.catalai",0,0,0,0,0,0,0.0204081632653061,0.73
"Porites.monticulosa",0,0,0,0,0,0,0.0204081632653061,0.73
"Echinopora",0,0,0,0.0476190476190476,0,0,0,0.17
"Acropora.grandis",0,0,0.0843373493975904,0,0,0,0,0.04
"Echinopora.pacificus",0,0,0.00971839647537461,0,0.0577203445406291,0,0,0.09
"Pavona.cactus",0,0,0,0,0.0263157894736842,0,0,0.39
"Acanthastrea.hillae",0,0,0.0120481927710843,0,0,0,0,1
"Acropora.horrida",0,0,0.0120481927710843,0,0,0,0,1
