survey_id,s_year,s_month,lat,lon,tminus,max_dhw
2001054,2009,3,-29.924999237060547,153.375,1,0.4900000095367432
2001054,2009,3,-29.924999237060547,153.375,2,0
2001056,2009,8,-29.924999237060547,153.375,1,0.4900000095367432
2001056,2009,8,-29.924999237060547,153.375,2,0
2001138,2009,8,-29.924999237060547,153.375,1,0.4900000095367432
2001138,2009,8,-29.924999237060547,153.375,2,0
2001140,2009,8,-29.924999237060547,153.375,1,0.4900000095367432
2001140,2009,8,-29.924999237060547,153.375,2,0
2001803,2009,2,-29.075000762939453,167.97500610351565,1,0.1303703635931015
2001803,2009,2,-29.075000762939453,167.97500610351565,2,0
2001804,2009,2,-29.075000762939453,167.97500610351565,1,0.1303703635931015
2001804,2009,2,-29.075000762939453,167.97500610351565,2,0
2001805,2009,2,-29.075000762939453,167.97500610351565,1,0.1303703635931015
2001805,2009,2,-29.075000762939453,167.97500610351565,2,0
2001806,2009,2,-29.075000762939453,167.97500610351565,1,0.1303703635931015
2001806,2009,2,-29.075000762939453,167.97500610351565,2,0
2001807,2009,2,-29.075000762939453,167.97500610351565,1,0.1303703635931015
2001807,2009,2,-29.075000762939453,167.97500610351565,2,0
2001808,2009,2,-29.075000762939453,167.97500610351565,1,0.1303703635931015
2001808,2009,2,-29.075000762939453,167.97500610351565,2,0
2001810,2009,2,-29.075000762939453,167.97500610351565,1,0.1303703635931015
2001810,2009,2,-29.075000762939453,167.97500610351565,2,0
2001812,2009,2,-29.075000762939453,167.97500610351565,1,0.1303703635931015
2001812,2009,2,-29.075000762939453,167.97500610351565,2,0
2001813,2009,2,-29.075000762939453,167.97500610351565,1,0.1303703635931015
2001813,2009,2,-29.075000762939453,167.97500610351565,2,0
2001814,2009,2,-29.075000762939453,167.97500610351565,1,0.1303703635931015
2001814,2009,2,-29.075000762939453,167.97500610351565,2,0
2001815,2009,2,-28.975000381469727,167.9250030517578,1,0.1966666728258133
2001815,2009,2,-28.975000381469727,167.9250030517578,2,0
2001816,2009,2,-28.975000381469727,167.9250030517578,1,0.1966666728258133
2001816,2009,2,-28.975000381469727,167.9250030517578,2,0
2001817,2009,2,-28.975000381469727,167.9250030517578,1,0.1966666728258133
2001817,2009,2,-28.975000381469727,167.9250030517578,2,0
2001818,2009,2,-28.975000381469727,167.9250030517578,1,0.1966666728258133
2001818,2009,2,-28.975000381469727,167.9250030517578,2,0
2001819,2009,2,-28.975000381469727,167.9250030517578,1,0.1966666728258133
2001819,2009,2,-28.975000381469727,167.9250030517578,2,0
2001820,2009,2,-28.975000381469727,167.9250030517578,1,0.1966666728258133
2001820,2009,2,-28.975000381469727,167.9250030517578,2,0
2001821,2009,2,-28.975000381469727,167.9250030517578,1,0.1966666728258133
2001821,2009,2,-28.975000381469727,167.9250030517578,2,0
2001822,2009,2,-28.975000381469727,167.9250030517578,1,0.1966666728258133
2001822,2009,2,-28.975000381469727,167.9250030517578,2,0
2001823,2009,2,-28.975000381469727,167.9250030517578,1,0.1966666728258133
2001823,2009,2,-28.975000381469727,167.9250030517578,2,0
2001824,2009,2,-29.024999618530273,167.9250030517578,1,0.16370370984077454
2001824,2009,2,-29.024999618530273,167.9250030517578,2,0
2001825,2009,2,-29.024999618530273,167.9250030517578,1,0.16370370984077454
2001825,2009,2,-29.024999618530273,167.9250030517578,2,0
2001826,2009,2,-29.024999618530273,167.9250030517578,1,0.16370370984077454
2001826,2009,2,-29.024999618530273,167.9250030517578,2,0
2001827,2009,2,-29.125,167.9250030517578,1,0.08814814686775208
2001827,2009,2,-29.125,167.9250030517578,2,0
2001828,2009,2,-29.125,167.9250030517578,1,0.08814814686775208
2001828,2009,2,-29.125,167.9250030517578,2,0
2001829,2009,2,-29.125,167.97500610351565,1,0.1407407373189926
2001829,2009,2,-29.125,167.97500610351565,2,0
2001830,2009,2,-29.125,167.97500610351565,1,0.1407407373189926
2001830,2009,2,-29.125,167.97500610351565,2,0
2001831,2009,2,-29.125,167.97500610351565,1,0.1407407373189926
2001831,2009,2,-29.125,167.97500610351565,2,0
2001832,2009,2,-29.075000762939453,167.97500610351565,1,0.1303703635931015
2001832,2009,2,-29.075000762939453,167.97500610351565,2,0
2001833,2009,2,-29.075000762939453,167.97500610351565,1,0.1303703635931015
2001833,2009,2,-29.075000762939453,167.97500610351565,2,0
2001837,2010,4,-29.975000381469727,153.27499389648438,1,0.15000000596046448
2001837,2010,4,-29.975000381469727,153.27499389648438,2,0.4699999988079071
2001837,2010,4,-29.975000381469727,153.27499389648438,3,0
2002627,2011,6,-29.924999237060547,153.375,1,3.910000085830689
2002627,2011,6,-29.924999237060547,153.375,2,0.30000001192092896
2002627,2011,6,-29.924999237060547,153.375,3,0.4900000095367432
