"site_code","pre_post","longitude","latitude","cluster","site_name","Mean_SST_cl","SD_SST_cl","npp_mean","npp_min","npp_max","npp_sd","npp_interann_sd","npp_flag","wave_mean","wave_sd","wave_interann_sd","land_area_20km","reef_area_20km","pop2015_20km","depth","MMM","maxDHW","maxSSTA","Year_Pre","Year_Post","interval","clust.prepost","Cyphastrea.Submassive"
"NWS7","Pre",123.3586,-11.9671,5,"Big Fish Gulch",28.40379763,1.116002315,1141.741996,628.4476708,1756.922081,272.48673,97.98739987,1,13.67891054,5.783206694,1.401453677,0,95,0,5.75,29.42552948,0,0,2013,2019,6,"Pre_5",0.5
"NWS71","Pre",119.6311,-17.15365,6,"Mermaid S bommie",27.77010806,1.627083391,857.7856391,556.4559093,1339.573627,215.785391,81.11351859,1,8.798316723,2.932212345,1.069263485,0,57,0,6,29.75576591,0,0,2013,2018,5,"Pre_6",0.5
"NWS72","Pre",119.64617,-17.0754,7,"Mermaid Reef Lagoon Dragon",27.8013471,1.609731619,782.6216491,541.5230078,1174.389569,188.8632777,58.35774171,1,9.242437383,3.07485834,1.12101661,0,57,0,10,29.75201416,0,0,2013,2018,5,"Pre_7",1
"NWS73","Post",119.64167,-17.06644,6,"Mermaid channel mid bank",27.8013471,1.609731619,782.6216491,541.5230078,1174.389569,188.8632777,58.35774171,1,9.242437383,3.07485834,1.12101661,0,57,0,4.5,29.75201416,7.429999834,2.799999937,2013,2018,5,"Post_6",0.55
"NWS73","Pre",119.64167,-17.06644,6,"Mermaid channel mid bank",27.8013471,1.609731619,782.6216491,541.5230078,1174.389569,188.8632777,58.35774171,1,9.242437383,3.07485834,1.12101661,0,57,0,4.5,29.75201416,0,0,2013,2018,5,"Pre_6",0.5
"NWS75","Post",119.6148,-17.08687,6,"Mermaid west lagoon",27.8013471,1.609731619,714.7789271,487.5781383,1136.316134,193.3283437,57.54107263,1,9.431106443,3.141714455,1.139181622,0,57,0,6,29.75201416,7.429999834,2.799999937,2013,2018,5,"Post_6",0.35
"NWS76","Pre",119.63474,-17.11469,6,"Mermaid central bommie",27.78543727,1.618182504,883.1272295,598.6444996,1305.704586,194.0943641,76.1409837,1,9.020377053,3.003535343,1.095140048,0,57,0,5.5,29.754179,0,0,2013,2018,5,"Pre_6",1
"NWS77","Pre",119.64815,-17.06202,7,"Mermaid Reef Cod Hole",27.8013471,1.609731619,782.6216491,541.5230078,1174.389569,188.8632777,58.35774171,1,9.242437383,3.07485834,1.12101661,0,57,0,13.5,29.75201416,0,0,2013,2018,5,"Pre_7",0.5
"NWS79","Post",119.6533,-17.0721,7,"Mermaid dropoff 1.2",27.81275129,1.612100458,782.6216491,541.5230078,1174.389569,188.8632777,58.35774171,1,9.242437383,3.07485834,1.12101661,0,57,0,7.5,29.76688004,7.61999983,2.829999937,2013,2018,5,"Post_7",0.5
"NWS79","Pre",119.6533,-17.0721,7,"Mermaid dropoff 1.2",27.81275129,1.612100458,782.6216491,541.5230078,1174.389569,188.8632777,58.35774171,1,9.242437383,3.07485834,1.12101661,0,57,0,7.5,29.76688004,0,0,2013,2018,5,"Pre_7",0.5
"NWS8","Post",123.36079,-11.97908,5,"Hibernia Lagoon South",28.40379763,1.116002315,1141.741996,628.4476708,1756.922081,272.48673,97.98739987,1,13.67891054,5.783206694,1.401453677,0,95,0,5.5,29.42552948,15.94999964,2.389999947,2013,2019,6,"Post_5",0.45
"NWS81","Post",119.61792,-17.02767,7,"Mermaid North M1",27.81783597,1.60163414,784.420216,490.8931236,1213.944331,212.8160163,70.37681959,0,9.659595716,3.217297673,1.165684923,0,57,0,8.5,29.75001907,7.879999824,2.819999937,2013,2018,5,"Post_7",0.5
"NWS81","Pre",119.61792,-17.02767,7,"Mermaid North M1",27.81783597,1.60163414,784.420216,490.8931236,1213.944331,212.8160163,70.37681959,0,9.659595716,3.217297673,1.165684923,0,57,0,8.5,29.75001907,0,0,2013,2018,5,"Pre_7",0.5
"NWS82","Pre",119.5962,-17.0762,6,"Mermaid west dropoff M4",27.7917366,1.607250576,714.7789271,487.5781383,1136.316134,193.3283437,57.54107263,1,9.431106443,3.141714455,1.139181622,0,57,0,6.5,29.73923492,0,0,2013,2018,5,"Pre_6",0.5
"NWS83","Post",119.35201,-17.24607,7,"Clerke North C1B",27.70641931,1.622233168,696.7524028,452.7531148,1182.118162,203.6871141,57.01844201,1,9.57255786,3.189231655,1.131364166,0.408376679,55.25,0,8,29.68066597,7.359999835,2.759999938,2013,2018,5,"Post_7",0.5
"NWS83","Pre",119.35201,-17.24607,7,"Clerke North C1B",27.70641931,1.622233168,696.7524028,452.7531148,1182.118162,203.6871141,57.01844201,1,9.57255786,3.189231655,1.131364166,0.408376679,55.25,0,8,29.68066597,0,0,2013,2018,5,"Pre_7",0.5
"NWS84","Post",119.34713,-17.24612,7,"Clerke North Point",27.70120049,1.620297508,696.7524028,452.7531148,1182.118162,203.6871141,57.01844201,1,9.57255786,3.189231655,1.131364166,0.408376679,55.25,0,8,29.68140221,6.999999844,2.779999938,2013,2018,5,"Post_7",0.5
"NWS84","Pre",119.34713,-17.24612,7,"Clerke North Point",27.70120049,1.620297508,696.7524028,452.7531148,1182.118162,203.6871141,57.01844201,1,9.57255786,3.189231655,1.131364166,0.408376679,55.25,0,8,29.68140221,0,0,2013,2018,5,"Pre_7",0.5
"NWS86","Post",119.35929,-17.2909,6,"Clerke anchorage dropoff 2.1",27.69127162,1.629373344,735.06261,487.2361518,1216.322032,207.1345137,61.52807904,1,9.318357578,3.096731031,1.100723801,0.408376679,64,0,6.5,29.67437172,6.899999846,2.749999939,2013,2018,5,"Post_6",1.45
"NWS86","Pre",119.35929,-17.2909,6,"Clerke anchorage dropoff 2.1",27.69127162,1.629373344,735.06261,487.2361518,1216.322032,207.1345137,61.52807904,1,9.318357578,3.096731031,1.100723801,0.408376679,64,0,6.5,29.67437172,0,0,2013,2018,5,"Pre_6",0.5
"NWS87","Pre",119.3769,-17.2843,6,"Clerke Anchorage Dropoff 2.2",27.69127162,1.629373344,715.6625445,498.0946801,1200.993112,206.998631,56.94927474,1,9.1558746,3.046846267,1.08780711,0.408376679,64,0,6,29.67437172,0,0,2013,2018,5,"Pre_6",1.5
"NWS88","Post",119.3775,-17.288,6,"Clerke anchorage dropoff 2.3",27.69127162,1.629373344,715.6625445,498.0946801,1200.993112,206.998631,56.94927474,1,9.1558746,3.046846267,1.08780711,0.408376679,64,0,6.5,29.67437172,6.899999846,2.749999939,2013,2018,5,"Post_6",2
"NWS88","Pre",119.3775,-17.288,6,"Clerke anchorage dropoff 2.3",27.69127162,1.629373344,715.6625445,498.0946801,1200.993112,206.998631,56.94927474,1,9.1558746,3.046846267,1.08780711,0.408376679,64,0,6.5,29.67437172,0,0,2013,2018,5,"Pre_6",1.55
"NWS89","Pre",119.36037,-17.25302,7,"Blue lagoon",27.69127162,1.629373344,696.7524028,452.7531148,1182.118162,203.6871141,57.01844201,1,9.57255786,3.189231655,1.131364166,0.408376679,64,0,18,29.67437172,0,0,2013,2018,5,"Pre_7",2
"NWS9","Pre",123.3356,-11.9685,7,"Spur and Groove Reef",28.40088781,1.114160786,1260.8574952,652.67313908,1926.3862314,295.31618442,110.162286976,0.8,13.733716814,5.799917061,1.4055176476,0,77.25,0,7.5,29.41734123,0,0,2013,2019,6,"Pre_7",1
"NWS94","Pre",119.3675,-17.31065,6,"Clerke west C12",27.67829307,1.636776196,776.5684611,507.7714786,1304.367217,239.1575664,80.63738521,2,9.064157296,3.004230407,1.070083436,0.408376679,64,0,5.75,29.67575073,0,0,2013,2018,5,"Pre_6",0.5
"NWS95","Pre",119.3675,-17.31065,6,"Clerke lagoon bommie C13",27.67829307,1.636776196,776.5684611,507.7714786,1304.367217,239.1575664,80.63738521,2,9.064157296,3.004230407,1.070083436,0.408376679,64,0,5,29.67575073,0,0,2013,2018,5,"Pre_6",1
"NWS96","Post",119.3605,-17.31882,6,"South Lagoon bommie C21",27.67829307,1.636776196,776.5684611,507.7714786,1304.367217,239.1575664,80.63738521,2,9.064157296,3.004230407,1.070083436,0.408376679,64,0,4.5,29.67575073,6.839999847,2.839999937,2013,2018,5,"Post_6",0.4
"NWS96","Pre",119.3605,-17.31882,6,"South Lagoon bommie C21",27.67829307,1.636776196,776.5684611,507.7714786,1304.367217,239.1575664,80.63738521,2,9.064157296,3.004230407,1.070083436,0.408376679,64,0,3,29.67575073,0,0,2013,2018,5,"Pre_6",3.9
"NWS97","Pre",119.3675,-17.3155,6,"Clerke south lagoon C25",27.67829307,1.636776196,776.5684611,507.7714786,1304.367217,239.1575664,80.63738521,2,9.064157296,3.004230407,1.070083436,0.408376679,64,0,3,29.67575073,0,0,2013,2018,5,"Pre_6",1
"NWS98","Pre",119.37064,-17.30694,6,"Clerke lagoon east C20",27.67829307,1.636776196,723.8672212,502.4603922,1224.85097,209.4464348,58.46504853,1,8.911812465,2.960841865,1.059117527,0.408376679,64,0,3,29.67575073,0,0,2013,2018,5,"Pre_6",0.8
"NWS99","Pre",119.35929,-17.2909,6,"Clerke lagoon NW bommie C29",27.69127162,1.629373344,735.06261,487.2361518,1216.322032,207.1345137,61.52807904,1,9.318357578,3.096731031,1.100723801,0.408376679,64,0,2.5,29.67437172,0,0,2013,2018,5,"Pre_6",1.5
"WA86","Pre",123.0338,-16.41926,5,"Gundanin Headland",27.96592013,1.9520062825,2573.406706,1780.55898,3631.919498,437.713128,263.2308941,2,0.452437578,0.3538679475,0.0830840345,268.8378402,52.25,654,4,29.97663498,0,0,2010,2018,8,"Pre_5",1
"WA87","Pre",123.03509,-16.39654,7,"One tree reef S",27.96984116,1.928749252,2573.406706,1780.55898,3631.919498,437.713128,263.2308941,2,0.023973716,0.025636392,0.005285348,268.8378402,52.25,654,8,29.97140694,0,0,2010,2018,8,"Pre_7",0.25
