"site_code","pre_post","longitude","latitude","cluster","site_name","Mean_SST_cl","SD_SST_cl","npp_mean","npp_min","npp_max","npp_sd","npp_interann_sd","npp_flag","wave_mean","wave_sd","wave_interann_sd","land_area_20km","reef_area_20km","pop2015_20km","depth","MMM","maxDHW","maxSSTA","Year_Pre","Year_Post","interval","clust.prepost","Cyphastrea.Submassive"
"CS151","Post",147.86608,-16.47592,1,"Holmes N Cay anchorage",26.47304583,1.517630873,605.2635291,421.7403259,895.8731934,111.0568044,25.09567521,1,14.53334861,4.617828988,1.803856124,0.205050005,102.5,0,7.5,28.48744774,9.629999785,2.209999951,2013,2016,3,"Post_1",0.5
"CS151","Pre",147.86608,-16.47592,1,"Holmes N Cay anchorage",26.47304583,1.517630873,605.2635291,421.7403259,895.8731934,111.0568044,25.09567521,1,14.53334861,4.617828988,1.803856124,0.205050005,102.5,0,7.5,28.48744774,0,0,2013,2016,3,"Pre_1",0.5
"CS153","Pre",146.62455,-13.85535,1,"Inner Osprey East",26.80614869,1.456880782,553.6866416,369.4803314,741.2682543,102.7571296,34.18457596,1,16.68251706,6.885262262,1.95303071,0,78.75,0,7.25,28.6871376,0,0,2013,2016,3,"Pre_1",0.5
"CS155","Post",146.55312,-13.8914,7,"Osprey Pass South",26.80084912,1.458508911,950.5023136,649.2591756,1325.231157,134.7042682,58.92591468,1,14.4147459,5.92323573,1.65742035,0,78.75,0,8.5,28.68905067,11.81999974,2.279999949,2013,2016,3,"Post_7",0.5
"CS157","Pre",146.5576,-13.8954,7,"Osprey Pass Channel",26.80084912,1.458508911,950.5023136,649.2591756,1325.231157,134.7042682,58.92591468,1,14.4147459,5.92323573,1.65742035,0,78.75,0,9,28.68905067,0,0,2013,2016,3,"Pre_7",1.5
"CS176","Pre",147.10453,-15.48135,7,"Bougainville Reef inlet",26.67396768,1.496951193,785.5857496,401.9490051,1493.795044,271.1358823,68.6656168,0,15.24320079,5.441856169,1.871494305,0,12.75,0,8.5,28.58984184,0,0,2015,2016,1,"Pre_7",2
"CS179","Pre",146.67549,-13.97563,7,"Osprey south bommie",26.79841391,1.453904009,648.35591,383.2256673,1023.183218,146.7919281,40.66771536,1,15.82605355,6.463879901,1.873700419,0,58.5,0,9.5,28.67809486,0,0,2015,2016,1,"Pre_7",0.5
"CS18","Pre",149.90547,-16.96134,1,"South West Islet Bommie",26.39262597,1.411032317,561.8001804,411.4120646,752.7998907,102.6364834,36.62269529,1,13.59502539,3.850600004,1.644830705,0.204556699,31.25,0,10,28.27536774,0,0,2012,2017,5,"Pre_1",1
"CS181","Post",146.6806,-13.96617,4,"Osprey S E Lagoon",26.79841391,1.453904009,648.35591,383.2256673,1023.183218,146.7919281,40.66771536,1,15.82605355,6.463879901,1.873700419,0,58.5,0,4.75,28.67809486,12.26999973,2.23999995,2015,2016,1,"Post_4",0.5
"CS182","Post",146.57249,-13.89028,7,"Osprey Lagoon entrance bommie",26.80084912,1.458508911,950.5023136,649.2591756,1325.231157,134.7042682,58.92591468,1,14.4147459,5.92323573,1.65742035,0,78.75,0,7.75,28.68905067,11.81999974,2.279999949,2015,2016,1,"Post_7",0.5
"CS186","Pre",144.45243,-10.43422,7,"Ashmore South bommie",26.85519663,1.375965565,736.8107613,516.7382253,1043.439203,118.5968024,53.75864276,1,15.75321679,8.823806164,1.833137017,0,374,0,8.5,28.48368073,0,0,2015,2016,1,"Pre_7",1
"CS191","Pre",144.53391,-10.37448,4,"Ashmore Rf Lagoon East Bommie",26.85943858,1.370277924,843.6462141,625.8260252,1143.090224,125.6163351,66.3895071,1,15.61973585,8.721626527,1.796770133,0,374,0,7,28.47990417,0,0,2015,2016,1,"Pre_4",1
"CS195","Post",144.5954,-10.21767,7,"Ashmore North East Entrance",26.87410704,1.352865153,975.90969,741.918335,1287.799967,133.5237695,69.90438162,0,15.34099598,8.540077697,1.739580406,0,443.25,0,9,28.45299721,10.08999977,2.579999942,2015,2016,1,"Post_7",0.5
"CS208","Post",144.6913,-9.98877,4,"Boot Reef Lagoon E",26.94730139,1.335212772,920.2723548,656.7412482,1351.236654,162.5752017,82.18932815,1,15.14208194,8.436268714,1.703930494,0,32.75,0,3.5,28.46889496,11.41999974,2.68999994,2015,2016,1,"Post_4",0.5
"CS212","Post",144.57013,-10.14587,7,"Ashmore Reef NE bommy",26.892989,1.340376779,1416.711859,1022.389669,2055.839966,255.5951049,76.54050298,0,15.05151838,8.431238382,1.703990223,0,313.75,0,11,28.44010735,10.66999976,2.67999994,2015,2016,1,"Post_7",0.5
"CS3","Post",152.22077,-19.28476,1,"Brodie Cay SE",25.77992646,1.537101042,564.1330742,383.1545773,802.5923262,117.7356309,20.4246317,1,17.36667143,5.19702676,2.06691991,0,45.25,0,7.625,27.81085968,3.049999932,1.859999958,2012,2016.9,4.9,"Post_1",0.55
"CS3","Pre",152.22077,-19.28476,1,"Brodie Cay SE",25.77992646,1.537101042,564.1330742,383.1545773,802.5923262,117.7356309,20.4246317,1,17.36667143,5.19702676,2.06691991,0,45.25,0,7.75,27.81085968,0,0,2012,2016.9,4.9,"Pre_1",0.5
"CS44","Post",155.16463,-22.17629,2,"NW Wreck Reef",24.98541991,1.594147576,582.5027663,363.6925018,913.1124626,168.4814121,29.20480387,1,21.79567544,6.370060722,2.288360089,0.1980227,27.25,0,5.5,27.08129311,0.149999997,2.119999953,2013,2017,4,"Post_2",0.5
"CS56","Post",155.76361,-21.248,1,"Kenn Reef rubble",25.03943125,1.581462563,559.3527213,312.218945,880.0902264,153.5926513,25.2177871,1,21.95152798,6.344261334,2.315438026,0,97.75,0,13.5,27.15874863,1.76999996,2.019999955,2013,2017,4,"Post_1",0.5
"CS57","Pre",155.76497,-21.24541,1,"Kenn Cave",25.03943125,1.581462563,559.3527213,312.218945,880.0902264,153.5926513,25.2177871,1,21.95152798,6.344261334,2.315438026,0,97.75,0,7.5,27.15874863,0,0,2013,2017,4,"Pre_1",1
"CS58","Post",155.76575,-21.19993,2,"Kenn Reef North Cay bommie",25.05050675,1.580581868,562.3554008,316.587944,881.5443034,154.5310003,27.44752679,1,21.92950678,6.337214413,2.315385292,0,97.75,0,9.5,27.16570854,2.139999952,1.949999956,2013,2017,4,"Post_2",0.5
"CS61","Post",155.76982,-21.20865,2,"Kenn Reef Pipeline",25.03943125,1.581462563,562.3554008,316.587944,881.5443034,154.5310003,27.44752679,1,21.92950678,6.337214413,2.315385292,0,97.75,0,8.5,27.15874863,1.76999996,2.019999955,2013,2017,4,"Post_2",0.5
"CS61","Pre",155.76982,-21.20865,2,"Kenn Reef Pipeline",25.03943125,1.581462563,562.3554008,316.587944,881.5443034,154.5310003,27.44752679,1,21.92950678,6.337214413,2.315385292,0,97.75,0,8,27.15874863,0,0,2013,2017,4,"Pre_2",1
"CS63","Post",154.3944,-21.0003,1,"Frederick Passage",25.36478917,1.546801539,512.7824444,287.5369212,823.3739047,137.3078862,25.076317,2,20.53762075,6.164705018,2.208346104,0.598981356,29.5,0,6.5,27.45256805,3.999999911,2.089999953,2013,2017,4,"Post_1",0.5
"CS63","Pre",154.3944,-21.0003,1,"Frederick Passage",25.36478917,1.546801539,512.7824444,287.5369212,823.3739047,137.3078862,25.076317,2,20.53762075,6.164705018,2.208346104,0.598981356,29.5,0,5.5,27.45256805,0,0,2013,2017,4,"Pre_1",4
"CS64","Post",154.39374,-20.99787,1,"Fredrick Central Bommie",25.36887153,1.545633988,512.7824444,287.5369212,823.3739047,137.3078862,25.076317,2,20.53762075,6.164705018,2.208346104,0.598981356,29.5,0,7,27.46206856,3.639999919,2.059999954,2013,2017,4,"Post_1",1
"CS64","Pre",154.39374,-20.99787,1,"Fredrick Central Bommie",25.36887153,1.545633988,512.7824444,287.5369212,823.3739047,137.3078862,25.076317,2,20.53762075,6.164705018,2.208346104,0.598981356,29.5,0,7,27.46206856,0,0,2013,2017,4,"Pre_1",1
"CS65","Post",154.39197,-21.0065,1,"Fredrick central reef",25.36478917,1.546801539,506.6214119,316.1907298,840.5754249,140.0237396,20.04869422,1,20.58563973,6.183886427,2.211268702,0.598981356,29.5,0,4,27.45256805,3.999999911,2.089999953,2013,2017,4,"Post_1",1
